,Model_type,Dor,Relu_out,Batch_size,Lr,Epochs,Min_val,Nb_hours_used,Sel_method,Tr_l,Te_l,V_l,Tr_l_mse,Te_l_mse,V_l_mse,Tr_l_mae,Te_l_mae,Te_l_mae_man,V_l_mae,fy_l,fy_l_mse,fy_l_mae,fy_l_mae_man,Train_time,Eval_time,alpha,beta,MAE,Test size,Val size
0,"(0, 0)",0,False,64,0.0025,8,min_val,2016,Weeks,3.773707996102459e-06,5.575251505988081e-06,7.294765776685164e-06,3.773707996102459e-06,5.575251505988081e-06,7.294765776685164e-06,0.0010916196473084005,0.0011434320062884897,0.0011434320062884895,0.0012011409404092484,3.880724759945064e-05,3.880724759945064e-05,0.0010861241187981954,0.0010861241187981952,45.53274220000094,0.14236299999902258,0,1,False,0.25,0.3333333333333333
1,"(0, 0)",0,False,64,0.0025,8,all_epochs,2016,Weeks,3.773707996102459e-06,5.575251505988081e-06,7.294765776685164e-06,3.773707996102459e-06,5.575251505988081e-06,7.294765776685164e-06,0.0010916196473084005,0.0011434320062884897,0.0011434320062884895,0.0012011409404092484,3.880724759945064e-05,3.880724759945064e-05,0.0010861241187981954,0.0010861241187981952,45.53274220000094,0.11748059999808902,0,1,False,0.25,0.3333333333333333
2,"(0, 0)",0,False,64,0.0025,16,min_val,2016,Weeks,2.891787269491168e-06,4.237462287552669e-06,6.273620670330458e-06,2.891787269491168e-06,4.237462287552669e-06,6.273620670330458e-06,0.0008379502948792362,0.0008425662533352381,0.0008425662533352381,0.0009053735806601929,3.730203210741186e-05,3.730203210741186e-05,0.0008151105316670129,0.0008151105316670132,86.90478770000118,0.10078250000151456,0,1,False,0.25,0.3333333333333333
3,"(0, 0)",0,False,64,0.0025,16,all_epochs,2016,Weeks,5.086078468228703e-06,7.257195148734733e-06,9.040090515314419e-06,5.086078468228703e-06,7.257195148734733e-06,9.040090515314419e-06,0.0012372406373646878,0.0012680989287397024,0.0012680989287397024,0.0013388502033661045,4.066758497476775e-05,4.066758497476775e-05,0.0011652127000537857,0.0011652127000537854,86.90478770000118,0.13182099999903585,0,1,False,0.25,0.3333333333333333
4,"(3, 1)",0,False,64,0.0025,8,min_val,2016,Weeks,1.4482084027914461e-06,2.8531961100860744e-06,4.655182148527548e-06,1.4482084027914461e-06,2.8531961100860744e-06,4.655182148527548e-06,0.00036291086229192654,0.00039786701205325097,0.00039786701205325097,0.00041480695809876833,3.598003682533683e-05,3.598003682533683e-05,0.00040952367564320796,0.00040952367564320806,67.67853939999986,0.21589119999771356,0,1,False,0.25,0.3333333333333333
5,"(3, 1)",0,False,64,0.0025,8,all_epochs,2016,Weeks,1.4482084027914461e-06,2.8531961100860744e-06,4.655182148527548e-06,1.4482084027914461e-06,2.8531961100860744e-06,4.655182148527548e-06,0.00036291086229192654,0.00039786701205325097,0.00039786701205325097,0.00041480695809876833,3.598003682533683e-05,3.598003682533683e-05,0.00040952367564320796,0.00040952367564320806,67.67853939999986,0.25911289999930887,0,1,False,0.25,0.3333333333333333
6,"(3, 1)",0,False,64,0.0025,16,min_val,2016,Weeks,1.3506296033176161e-06,2.6625455066172414e-06,4.5781606944417594e-06,1.3506296033176161e-06,2.6625455066172414e-06,4.5781606944417594e-06,0.00031918507700268124,0.00033321989998867126,0.0003332198999886712,0.000367219489394192,3.5822377926323927e-05,3.5822377926323927e-05,0.00036334109800006357,0.0003633410980000636,167.7284725999998,0.23148790000050212,0,1,False,0.25,0.3333333333333333
7,"(3, 1)",0,False,64,0.0025,16,all_epochs,2016,Weeks,1.4699585423071287e-06,2.8088546801153996e-06,4.7109928268032976e-06,1.4699585423071287e-06,2.8088546801153996e-06,4.7109928268032976e-06,0.00040368085950209223,0.00042384849564705763,0.00042384849564705774,0.0004480305695393343,3.6143503886792476e-05,3.6143503886792476e-05,0.00046307309430412006,0.00046307309430412,167.7284725999998,0.2682177999995474,0,1,False,0.25,0.3333333333333333
