Period,Scenario,LoadLevel,Node,p.u.
2030,sc01,01-20 03:00:00+01:00,Node_1,0.9501478544708805
2030,sc01,01-20 04:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-20 04:00:00+01:00,Node_3,0.95
2030,sc01,01-20 04:00:00+01:00,Node_1,0.9501440224460528
2030,sc01,01-20 05:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-20 05:00:00+01:00,Node_3,0.95
2030,sc01,01-20 05:00:00+01:00,Node_1,0.9501381188901723
2030,sc01,01-20 06:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-20 06:00:00+01:00,Node_3,0.95
2030,sc01,01-20 06:00:00+01:00,Node_1,0.9501350047877404
2030,sc01,01-20 07:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-20 07:00:00+01:00,Node_3,0.95
2030,sc01,01-20 07:00:00+01:00,Node_1,0.9501324280672887
2030,sc01,01-20 08:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-20 08:00:00+01:00,Node_3,0.95
2030,sc01,01-20 08:00:00+01:00,Node_1,0.950129741289462
2030,sc01,01-20 09:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-20 09:00:00+01:00,Node_3,0.95
2030,sc01,01-20 09:00:00+01:00,Node_1,0.9501293933436772
2030,sc01,01-20 10:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-20 10:00:00+01:00,Node_3,0.95
2030,sc01,01-20 10:00:00+01:00,Node_1,0.9501307756885246
2030,sc01,01-20 11:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-20 11:00:00+01:00,Node_3,0.95
2030,sc01,01-20 11:00:00+01:00,Node_1,0.9501327146622606
2030,sc01,01-20 12:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-20 12:00:00+01:00,Node_3,0.95
2030,sc01,01-20 12:00:00+01:00,Node_1,0.9501359795612562
2030,sc01,01-20 13:00:00+01:00,Node_2,0.9500545192334918
2030,sc01,01-20 13:00:00+01:00,Node_3,0.95
2030,sc01,01-20 13:00:00+01:00,Node_1,0.9501378035318768
2030,sc01,01-20 14:00:00+01:00,Node_2,0.9500549949556036
2030,sc01,01-20 14:00:00+01:00,Node_3,0.95
2030,sc01,01-20 14:00:00+01:00,Node_1,0.9501389198308184
2030,sc01,01-20 15:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-20 15:00:00+01:00,Node_3,0.95
2030,sc01,01-20 15:00:00+01:00,Node_1,0.9501371998428679
2030,sc01,01-20 16:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-20 16:00:00+01:00,Node_3,0.95
2030,sc01,01-20 16:00:00+01:00,Node_1,0.9501308182749538
2030,sc01,01-20 17:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-20 17:00:00+01:00,Node_3,0.95
2030,sc01,01-20 17:00:00+01:00,Node_1,0.9501213035673925
2030,sc01,01-20 18:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-20 18:00:00+01:00,Node_3,0.95
2030,sc01,01-20 18:00:00+01:00,Node_1,0.9501182069630307
2030,sc01,01-20 19:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-20 19:00:00+01:00,Node_3,0.95
2030,sc01,01-20 19:00:00+01:00,Node_1,0.9501195242506519
