LoadLevel,Node_1_Node_2_cac1,Node_1_Node_2_cac2,Node_1_Node_2_cac3,Node_1_Node_2_eac1,Node_1_Node_3_cac1,Node_1_Node_3_cac3,Node_1_Node_3_eac1,Node_2_Node_3_cac1,Node_2_Node_3_cac2,Node_2_Node_3_cac3,Node_2_Node_3_eac1
01-02 11:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0142242959499999,-0.03,0.0231276181199973,-0.12,0.0142242959500026
01-02 12:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0121668521999999,-0.03,-0.06,-0.0368651253099981,0.0121668521999981
01-02 13:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.01164602095,-0.03,0.0233742072700003,-0.12,0.0116460209499996
01-02 14:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0122602099799999,-0.03,-0.06,-0.0350163932799973,0.0122602099799973
01-02 15:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0128614717099999,-0.03,-0.06,-0.0291049202700026,0.0128614717100026
01-02 16:00:00+01:00,-0.0101983383700068,0.0525,0.105,-0.0525,-0.03,-0.12,0.0337500000000068,-0.03,0.0382236274899931,0.12,0.06
01-02 17:00:00+01:00,-0.02625,0.0525,0.08869528374,0.0,-0.03,-0.12,0.0146181646199999,0.03,0.06,0.12,0.0146181646199999
01-02 18:00:00+01:00,-0.02625,0.0347364082649999,0.105,0.0,-0.03,-0.12,0.016095671345,0.03,0.06,0.12,0.016095671345
01-02 19:00:00+01:00,-0.02625,0.0525,0.08913725651,0.0,-0.03,-0.12,0.0152900011799999,0.03,0.06,0.12,0.0152900011799999
01-02 20:00:00+01:00,-0.02625,0.0387825309099999,0.105,0.0,-0.03,-0.12,0.0141019306099999,0.03,0.06,0.12,0.0141019306099999
01-02 21:00:00+01:00,-0.02625,0.0525,0.096492853925,0.0,-0.03,-0.12,0.011961713725,0.03,0.06,0.12,0.011961713725
01-02 22:00:00+01:00,-0.02625,0.0525,0.10283740553,0.0,-0.03,-0.12,0.00980543852,0.03,0.06,0.12,0.00980543852
01-02 23:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0255431892299999,-0.03,-0.06,-0.033081314910002,0.025543189230002
01-03 00:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.02432164368,-0.03,-0.06,-0.0309473259900003,0.0243216436800003
01-03 01:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0263820249299999,-0.03,0.0243494724499966,-0.12,0.0263820249300033
01-03 02:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0288594061999999,-0.03,0.0203247923800029,-0.12,0.028859406199997
01-03 03:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0302523374299999,-0.03,-0.06,-0.0401356918399971,0.0302523374299971
01-03 04:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.03155619993,-0.03,-0.06,-0.0372460983000007,0.0315561999300007
01-03 05:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0323798936999999,-0.03,0.0288885674600007,-0.12,0.0323798936999992
01-03 06:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.02954293742,-0.03,-0.06,-0.0235108527800011,0.0295429374200011
01-03 07:00:00+01:00,-0.02625,0.0525,0.1004472518299999,0.0,-0.03,-0.12,0.01655562934,0.03,0.06,0.12,0.01655562934
01-03 08:00:00+01:00,-0.02625,0.047573730625,0.105,0.0,-0.03,-0.12,0.014436038035,0.03,0.06,0.12,0.014436038035
01-03 09:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.02533860616,-0.03,0.0265745527400014,-0.12,0.0253386061599985
01-03 10:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.02493041866,-0.03,0.0105033799199965,-0.12,0.0249304186600033
01-03 11:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.02369166241,-0.03,0.0030993589199986,-0.12,0.0236916624100013
01-03 12:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.02225853741,-0.03,-0.06,-0.0581085745400026,0.0222585374100026
01-03 13:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0234552249099999,-0.03,-0.06,-0.0615114104299988,0.0234552249099988
