LoadLevel,Node_1_Node_2_cac1,Node_1_Node_2_cac2,Node_1_Node_2_cac3,Node_1_Node_2_eac1,Node_1_Node_3_cac1,Node_1_Node_3_cac2,Node_1_Node_3_cac3,Node_1_Node_3_eac1,Node_2_Node_3_cac1,Node_2_Node_3_cac3,Node_2_Node_3_eac1
10-06 20:00:00+02:00,-0.02625,-0.0525,-0.105,-0.0004832049999999,-0.03,0.06,0.1166453099999931,0.0597583975000068,-0.03,-0.12,0.06
10-06 21:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.1172774246599999,0.05575225872,-0.03,-0.12,0.05575225872
10-06 22:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.1182841157,0.0514245510999999,-0.03,-0.12,0.0514245510999999
10-06 23:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0597066544099999,0.12,0.04854303334,-0.03,-0.12,0.04854303334
10-07 00:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.06,0.0614700405799999,0.0459880800899999,-0.03,-0.12,0.0459880800899999
10-07 01:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.0004334866499999,0.12,0.04509291255,-0.03,-0.12,0.04509291255
10-07 02:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.1156501184399999,0.04680045657,-0.03,-0.12,0.04680045657
10-07 03:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.11087636503,0.0495789621599999,-0.03,-0.12,0.0495789621599999
10-07 04:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.1040763970799999,0.0546768975,-0.03,-0.12,0.0546768975
10-07 05:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0957881258299999,0.06,-0.03,-0.1184502445699999,0.06
10-07 06:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.09299729866,0.06,-0.0223412489599999,-0.12,0.06
10-07 07:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0896832318099999,0.06,-0.0167585724099999,-0.12,0.06
10-07 08:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0856620127899999,0.06,-0.01792944179,-0.12,0.06
10-07 09:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.08380561469,0.06,-0.03,-0.11295784329,0.06
10-07 10:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0234247875199999,0.12,0.06,-0.03,-0.11601522062,0.06
10-07 11:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0835792589899999,0.06,-0.0231112826899999,-0.12,0.06
10-07 12:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0849920299199999,0.06,-0.0210054803199999,-0.12,0.06
10-07 13:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0262907035499999,0.12,0.06,-0.0179535920499999,-0.12,0.06
10-07 14:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0877556472999999,0.06,-0.03,-0.1048736743,0.06
10-07 15:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.02995351062,0.12,0.06,-0.01302311502,-0.12,0.06
10-07 16:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0912405155099999,0.06,-0.0102925266099999,-0.12,0.06
10-07 17:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0917978445799999,0.06,-0.0021742765799999,-0.12,0.06
10-07 18:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.03176728127,0.12,0.06,0.00434872953,-0.12,0.06
10-07 19:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.09283419214,0.06,-0.03,-0.09037179774,0.06
10-07 20:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0361819818199999,0.12,0.06,-0.00994279972,-0.12,0.06
10-07 21:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0373293915999999,0.12,0.06,-0.0200720285999999,-0.12,0.06
10-07 22:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0383445535499999,0.12,0.06,-0.03,-0.1188537400799999,0.06
10-07 23:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.10518006966,0.0549546583499999,-0.03,-0.12,0.0549546583499999
10-08 00:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0518569648799999,0.12,0.04988236754,-0.03,-0.12,0.04988236754
10-08 01:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.1129882749899999,0.04807170562,-0.03,-0.12,0.04807170562
10-08 02:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0524988158099999,0.12,0.0476239174399999,-0.03,-0.12,0.0476239174399999
10-08 03:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.11422156743,0.0466338372099999,-0.03,-0.12,0.0466338372099999
10-08 04:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.11105725251,0.0500205726899999,-0.03,-0.12,0.0500205726899999
