LoadLevel,Node_1_Node_2_cac1,Node_1_Node_2_cac3,Node_1_Node_2_eac1,Node_1_Node_3_cac1,Node_1_Node_3_cac2,Node_1_Node_3_cac3,Node_1_Node_3_eac1,Node_2_Node_3_cac1,Node_2_Node_3_cac2,Node_2_Node_3_cac3,Node_2_Node_3_eac1
01-02 22:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.03014284405,0.06,-0.03,-0.06,-0.0105319670099999,0.06
01-02 23:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.02695681077,0.12,0.06,-0.03,-0.06,-0.0150381256799999,0.06
01-03 00:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.0318216436799999,0.06,-0.03,-0.06,-0.0141256823099999,0.06
01-03 01:00:00+01:00,-0.02625,-0.105,0.0,0.03,-0.06,0.09388202493,0.06,-0.03,-0.06,-0.0167685026199999,0.06
01-03 02:00:00+01:00,-0.02625,-0.105,0.0,0.0063594062,-0.06,0.12,0.06,-0.03,0.04168419858,-0.12,0.06
01-03 03:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.0222476625699999,0.12,0.06,-0.03,0.04261664559,-0.12,0.06
01-03 04:00:00+01:00,-0.02625,-0.105,0.0,0.03,-0.06,0.0990561999299999,0.06,-0.03,0.04681010163,-0.12,0.06
01-03 05:00:00+01:00,-0.02625,-0.105,0.0,0.0098798937,-0.06,0.12,0.06,-0.03,-0.06,-0.0062315388399999,0.06
01-03 06:00:00+01:00,-0.02625,-0.105,0.0,0.00704293742,-0.06,0.12,0.06,-0.03,0.05853208464,-0.12,0.06
01-03 07:00:00+01:00,-0.02625,-0.105,0.0,0.00450288117,-0.06,0.12,0.06,-0.03,-0.06,-0.0013916224899999,0.06
01-03 08:00:00+01:00,-0.02625,-0.105,0.0,0.0020097686599999,-0.06,0.12,0.06,-0.03,0.05686230741,-0.12,0.06
01-03 09:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.03283860616,0.06,-0.03,-0.06,-0.0155868410999999,0.06
01-03 10:00:00+01:00,-0.02625,-0.105,0.0,0.03,-0.06,0.0924304186599999,0.06,-0.03,-0.06,-0.0320662014199999,0.06
01-03 11:00:00+01:00,-0.02625,-0.105,0.0,0.0011916624099999,-0.06,0.12,0.06,-0.03,0.01929102133,-0.12,0.06
01-03 12:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.0302414625899999,0.12,0.06,-0.03,0.01664996287,-0.12,0.06
01-03 13:00:00+01:00,-0.02625,-0.105,0.0,0.0009552249099999,-0.06,0.12,0.06,-0.03,-0.06,-0.0455561855199999,0.06
01-03 14:00:00+01:00,-0.02625,-0.105,0.0,0.03,-0.06,0.0932689811499999,0.06,-0.03,-0.06,-0.0462230028299999,0.06
01-03 15:00:00+01:00,-0.02625,-0.105,0.0,0.03,-0.06,0.0941316811499999,0.06,-0.03,-0.06,-0.0414598546199999,0.06
01-03 16:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.02580224385,0.12,0.06,-0.03,-0.06,-0.0263308870099999,0.06
01-03 17:00:00+01:00,-0.02625,-0.105,0.0,0.0070909748899999,-0.06,0.12,0.06,-0.03,0.04932998262,-0.12,0.06
01-03 18:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.0396751623899999,0.06,-0.03,0.0498192015,-0.12,0.06
