,LoadLevel,mEUR
52,01-03 04:00:00+01:00,1051.562642349765
53,01-03 05:00:00+01:00,1051.562642349765
54,01-03 06:00:00+01:00,1051.562642349765
55,01-03 07:00:00+01:00,112235.38107424065
56,01-03 08:00:00+01:00,112235.38107424065
57,01-03 09:00:00+01:00,112235.38107424065
58,01-03 10:00:00+01:00,112235.38107424065
59,01-03 11:00:00+01:00,112235.38107424065
60,01-03 12:00:00+01:00,112235.38107424065
61,01-03 13:00:00+01:00,112235.38107424065
62,01-03 14:00:00+01:00,112235.38107424065
63,01-03 15:00:00+01:00,112235.38107424065
64,01-03 16:00:00+01:00,112235.38107424065
65,01-03 17:00:00+01:00,112235.38107424065
66,01-03 18:00:00+01:00,112235.38107424065
67,01-03 19:00:00+01:00,1561283.0123931868
68,01-03 20:00:00+01:00,715445.8107303318
69,01-03 21:00:00+01:00,715445.8107303318
70,01-03 22:00:00+01:00,715445.8107303318
71,01-03 23:00:00+01:00,1051.562642349765
72,01-04 00:00:00+01:00,1051.562642349765
73,01-04 01:00:00+01:00,1051.562642349765
74,01-04 02:00:00+01:00,1051.562642349765
75,01-04 03:00:00+01:00,1051.562642349765
76,01-04 04:00:00+01:00,1051.562642349765
77,01-04 05:00:00+01:00,1051.562642349765
78,01-04 06:00:00+01:00,1051.562642349765
79,01-04 07:00:00+01:00,112235.38107424065
80,01-04 08:00:00+01:00,112235.38107424065
81,01-04 09:00:00+01:00,112235.38107424065
82,01-04 10:00:00+01:00,112235.38107424065
83,01-04 11:00:00+01:00,112235.38107424065
84,01-04 12:00:00+01:00,112235.38107424065
85,01-04 13:00:00+01:00,112235.38107424065
86,01-04 14:00:00+01:00,112235.38107424065
87,01-04 15:00:00+01:00,21235.59823133599
88,01-04 16:00:00+01:00,112235.38107424065
89,01-04 17:00:00+01:00,112235.38107424065
90,01-04 18:00:00+01:00,112235.38107424065
91,01-04 19:00:00+01:00,1561283.0123931868
92,01-04 20:00:00+01:00,112235.38107424065
93,01-04 21:00:00+01:00,112235.38107424065
94,01-04 22:00:00+01:00,1561283.0123931868
95,01-04 23:00:00+01:00,1051.562642349765
96,01-05 00:00:00+01:00,1051.562642349765
97,01-05 01:00:00+01:00,1051.562642349765
98,01-05 02:00:00+01:00,1051.562642349765
99,01-05 03:00:00+01:00,1051.562642349765
100,01-05 04:00:00+01:00,1051.562642349765
101,01-05 05:00:00+01:00,1051.562642349765
102,01-05 06:00:00+01:00,1051.562642349765
103,01-05 07:00:00+01:00,7644.041337475619
104,01-05 08:00:00+01:00,112235.38107424065
105,01-05 09:00:00+01:00,112235.38107424065
106,01-05 10:00:00+01:00,112235.38107424065
107,01-05 11:00:00+01:00,112235.38107424065
108,01-05 12:00:00+01:00,1561283.0123931868
109,01-05 13:00:00+01:00,1561283.0123931868
110,01-05 14:00:00+01:00,112235.38107424065
111,01-05 15:00:00+01:00,112235.38107424065
112,01-05 16:00:00+01:00,112235.38107424065
113,01-05 17:00:00+01:00,112235.38107424065
114,01-05 18:00:00+01:00,112235.38107424065
115,01-05 19:00:00+01:00,1561283.0123931868
116,01-05 20:00:00+01:00,1051.562642349765
117,01-05 21:00:00+01:00,1051.562642349765
118,01-05 22:00:00+01:00,7644.041337475619
119,01-05 23:00:00+01:00,1051.562642349765
120,01-06 00:00:00+01:00,1051.562642349765
121,01-06 01:00:00+01:00,1051.562642349765
122,01-06 02:00:00+01:00,1051.562642349765
123,01-06 03:00:00+01:00,1051.562642349765
124,01-06 04:00:00+01:00,1051.562642349765
125,01-06 05:00:00+01:00,1051.562642349765
126,01-06 06:00:00+01:00,1051.562642349765
