Period,Scenario,LoadLevel,Variable,Value,Dataset,Execution
2030,sc01,2030-01-01T10:00:00+01:00,Node_1,(0.02865671642+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T10:00:00+01:00,Node_2,(0.03278249685+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T10:00:00+01:00,Node_3,(0.08777774973+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T11:00:00+01:00,Node_1,(0.02835820896+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T11:00:00+01:00,Node_2,(0.03408152304+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T11:00:00+01:00,Node_3,(0.08603232135000001+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T12:00:00+01:00,Node_1,(0.02835820896+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T12:00:00+01:00,Node_2,(0.03445483235+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T12:00:00+01:00,Node_3,(0.08464486619+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T13:00:00+01:00,Node_1,(0.02835820896+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T13:00:00+01:00,Node_2,(0.035257935580000004+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T13:00:00+01:00,Node_3,(0.08376713728+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T14:00:00+01:00,Node_1,(0.02776119404+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T14:00:00+01:00,Node_2,(0.035203387270000004+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T14:00:00+01:00,Node_3,(0.08350624753+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T15:00:00+01:00,Node_1,(0.02805970149+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T15:00:00+01:00,Node_2,(0.03312377333+0j),ElectricityDemand,Network_Full_Generation_Full
