,122_WIND_1,N_106,N_105,Network_Line_Out_N_118_N_121_cac1,N_103,N_118,Network_Line_Out_N_109_N_111_cac1,N_119,N_114,Network_Line_Out_N_101_N_102_cac1,N_104,N_101,N_113,Network_Line_Out_N_115_N_116_cac1,N_120,N_102,113_PV_1,N_116,N_115,N_108,Network_Line_Out_N_106_N_108_cac1,N_110,N_107,104_PV_1,Network_Line_Out_N_103_N_124_cac1,N_109,Network_Line_Out_N_117_N_118_cac1,102_PV_1,102_PV_2,119_PV_1
01-01 10:00:00+01:00,0.037339572,0.004370737,0.008491599,0.00244579,0.01254484,0.005570863,7.30E-05,0.002762526,0.007417121,0.009509692,0.007806192,0.003011951,0.003344729,0.005308459,0.003569226,0.007669796,0.000320353,0.007008799,0.008257129,0.001452983,0.000243632,0.002998346,0.006202858,0.002582304,0.010230651,0.005125786,5.82E-05,0.001298674,0.001271818,0.000169576
01-01 11:00:00+01:00,0.035245452,0.004928119,0.009245867,0.002416061,0.013005608,0.006284815,7.23E-05,0.0033858,0.00734026,0.009477971,0.008006568,0.003785748,0.004198076,0.005315586,0.004508061,0.007654395,0.000611812,0.007161772,0.008372447,0.002457017,0.00021569,0.003090157,0.006275246,0.003017728,0.010232176,0.005024767,6.45E-05,0.001772136,0.001735489,0.000276967
01-01 12:00:00+01:00,0.035051706,0.005336996,0.008844402,0.002401668,0.013606071,0.006683339,7.40E-05,0.003948405,0.007609275,0.009466062,0.007294277,0.004124863,0.004411903,0.005323483,0.005070854,0.007500383,0.000586415,0.007297821,0.008431991,0.003377491,0.000214436,0.003041835,0.006120305,0.0029633,0.010232509,0.004854531,6.68E-05,0.001981482,0.001940505,0.000436823
01-01 13:00:00+01:00,0.037743039,0.004550643,0.007713,0.002397442,0.013525409,0.006881754,7.85E-05,0.004436524,0.007686136,0.009459855,0.005758035,0.00442205,0.004831711,0.005326425,0.004934603,0.007176958,0.000435101,0.007341435,0.0084094,0.003808533,0.00024128,0.003005594,0.005798719,0.003543865,0.010231358,0.004706744,6.74E-05,0.00212632,0.002082348,0.000348193
01-01 14:00:00+01:00,0.04099987,0.003973635,0.0069344,0.002397813,0.013063063,0.006842749,8.27E-05,0.004531817,0.008685334,0.00949231,0.005726196,0.004362859,0.004502142,0.005334402,0.004859331,0.007161557,0.000340117,0.007701411,0.008596066,0.003135111,0.000258714,0.003206128,0.005494998,0.001693314,0.01022904,0.004813375,6.59E-05,0.001794045,0.001756944,0.000171147
01-01 15:00:00+01:00,0.039137171,0.004280457,0.006812744,0.002417253,0.012779617,0.007049643,8.85E-05,0.004576673,0.008723764,0.00953677,0.005844313,0.00360016,0.00433932,0.005343045,0.004932697,0.007346371,0.000262809,0.008067246,0.008785147,0.002503729,0.000313118,0.003773905,0.005510092,0.00061685,0.010226813,0.005245513,5.96E-05,0.001100282,0.001077529,5.11E-05
01-01 16:00:00+01:00,0.038509675,0.005208118,0.008625421,0.002445202,0.012762268,0.007673715,9.69E-05,0.005703839,0.008839057,0.009567325,0.005984988,0.003290641,0.004107837,0.005368453,0.005504383,0.008378251,4.43E-05,0.008546998,0.008867419,0.002361778,0.000229897,0.005151066,0.0064077,7.86E-05,0.010221682,0.006107917,5.08E-05,0.000394349,0.000386194,1.12E-05
01-01 17:00:00+01:00,0.041569541,0.007526617,0.011241028,0.002522892,0.013392473,0.009372955,0.000164348,0.006029169,0.00820495,0.009312702,0.007337969,0.003555151,0.005206399,0.005369021,0.006510233,0.009040503,0,0.008686953,0.0088562,0.002530458,0.000141308,0.005431331,0.007311468,0,0.010210219,0.006431552,4.62E-05,0.000130233,0.000127539,0
01-01 18:00:00+01:00,0.042622324,0.008330634,0.011703321,0.00255186,0.014124971,0.009154191,9.08E-05,0.006115134,0.008128089,0.009399483,0.007546475,0.005177967,0.005449652,0.005359961,0.006693807,0.009240718,0,0.008564574,0.00879107,0.004005239,0.000137784,0.005380593,0.007414351,4.84E-05,0.010219464,0.006409103,4.14E-05,0,0,0
01-01 19:00:00+01:00,0.041221753,0.008800352,0.012080455,0.002547209,0.014361776,0.00869292,8.99E-05,0.006126294,0.008935133,0.009397939,0.007477199,0.006104673,0.004935682,0.005359641,0.00651722,0.009163713,0,0.008255371,0.008648241,0.005681658,0.000186631,0.005170395,0.007413735,0,0.010219407,0.006240738,4.27E-05,0,0,0
01-01 20:00:00+01:00,0.040164201,0.008413063,0.011910137,0.002538916,0.014050617,0.008070544,0.000153888,0.005739038,0.008973564,0.009411598,0.007077913,0.006773653,0.004721855,0.005360366,0.005816587,0.009071305,0,0.008059435,0.008573722,0.006247125,0.000375144,0.004672684,0.00735028,4.23E-05,0.010216016,0.006042441,4.57E-05,0,0,0
01-01 21:00:00+01:00,0.037161445,0.007558673,0.012043959,0.002500925,0.013554925,0.007139523,8.97E-05,0.005023467,0.007859074,0.009535327,0.0063285,0.006980205,0.004429559,0.005350572,0.005209647,0.008640072,0,0.00780296,0.008381689,0.006456288,0.000388572,0.004061418,0.006945833,0,0.010219406,0.00585724,4.34E-05,0,0,0
01-01 22:00:00+01:00,0.034792266,0.006245686,0.010888225,0.002481195,0.013740359,0.006223764,8.24E-05,0.004379859,0.006898307,0.009556442,0.005797572,0.006442554,0.005020036,0.005337085,0.004943178,0.008024024,0,0.007617439,0.008193834,0.006097908,0.000422542,0.003464648,0.006437271,2.42E-05,0.010225466,0.005415749,4.55E-05,0,0,0
01-01 23:00:00+01:00,0.03298179,0.004507465,0.00851593,0.002476,0.013916104,0.00503667,7.78E-05,0.003287748,0.007455552,0.009540704,0.004470874,0.005202629,0.00511616,0.005317929,0.004064687,0.007161557,0,0.007350548,0.007956657,0.005415403,0.000431861,0.002858214,0.006238898,1.21E-05,0.010228828,0.004807763,4.90E-05,0,0,0
01-02 00:00:00+01:00,0.030471088,0.003032235,0.006046311,0.002476415,0.013362506,0.004246405,7.54E-05,0.002433592,0.006667723,0.009538324,0.003413558,0.003702511,0.004194153,0.005298099,0.003500941,0.006237485,0,0.007137687,0.007783845,0.004014582,0.000416235,0.002435401,0.005455878,6.05E-06,0.010229846,0.004401816,5.22E-05,0,0,0
01-02 01:00:00+01:00,0.029788388,0.002003827,0.004476946,0.002460962,0.012841354,0.003688471,6.89E-05,0.002129182,0.00618734,0.009544808,0.003255293,0.00256432,0.00340358,0.005313842,0.003022948,0.005667641,0,0.007092121,0.007667538,0.002823442,0.000288589,0.002159969,0.004551802,6.05E-06,0.010234644,0.004201648,4.65E-05,0,0,0
01-02 02:00:00+01:00,0.029224083,0.00149551,0.003515863,0.002438122,0.012552951,0.00342731,6.62E-05,0.001893112,0.005860679,0.009546549,0.002794251,0.001827518,0.002744443,0.005324024,0.002865735,0.00540582,0,0.006983412,0.007613456,0.002019228,0.000286019,0.002070574,0.003864888,0,0.010238597,0.004169846,4.27E-05,0,0,0
01-02 03:00:00+01:00,0.028343703,0.001261305,0.00316306,0.002438067,0.012048021,0.003323863,6.66E-05,0.00198405,0.008012797,0.009548938,0.002524734,0.00153403,0.002516884,0.005334846,0.002743775,0.005298012,0,0.007062828,0.007676704,0.001485162,0.000271265,0.002070574,0.003362487,0,0.010239171,0.004255899,4.13E-05,0,0,0
01-02 04:00:00+01:00,0.027215211,0.001486351,0.003613188,0.002454365,0.01196488,0.003484969,7.22E-05,0.002442261,0.008839057,0.009550249,0.00268397,0.001464357,0.002583582,0.0053224,0.003275125,0.005467425,0,0.00730368,0.007756842,0.001220204,0.000273833,0.002210706,0.003072936,0,0.010233922,0.004480386,4.29E-05,0,0,0
01-02 05:00:00+01:00,0.030281038,0.002603078,0.005097393,0.002502839,0.01247364,0.004336285,8.37E-05,0.003621088,0.007590059,0.00955774,0.003381336,0.002005707,0.003427121,0.005314299,0.0041822,0.00579085,0,0.007730704,0.007992426,0.001183614,0.000434222,0.002503051,0.003210011,0,0.010227214,0.005112691,4.28E-05,0,0,0
01-02 06:00:00+01:00,0.033437718,0.005115221,0.008722746,0.002520395,0.013362957,0.006356041,9.48E-05,0.006828523,0.006360278,0.00956212,0.004494832,0.003719159,0.004884677,0.005361457,0.006045261,0.006514707,0,0.008564574,0.008584523,0.001448312,0.000454078,0.003128814,0.003547923,6.05E-06,0.010223243,0.006033088,3.19E-05,0,0,0
01-02 07:00:00+01:00,0.031244519,0.008131101,0.011411347,0.002575027,0.014304096,0.008820109,0.00016908,0.009204823,0.005860679,0.009197579,0.005763544,0.00608556,0.006301038,0.005382404,0.007762542,0.007577389,0,0.009578106,0.009297095,0.002386691,0.000319916,0.003771489,0.004301063,0.000882942,0.010210188,0.00704515,3.02E-05,0,0,9.00E-06
01-02 08:00:00+01:00,0.02909317,0.010761001,0.013601157,0.002585598,0.015044029,0.010985707,8.58E-05,0.010523912,0.005783817,0.00944372,0.007206575,0.008144908,0.007376059,0.005360699,0.008785225,0.007931617,3.88E-07,0.010051348,0.009718771,0.00378907,0.000137543,0.004474566,0.005543052,0.003441056,0.010225681,0.007531538,3.18E-05,0.000171615,0.000168066,7.84E-05
01-02 09:00:00+01:00,0.02703935,0.012349409,0.014769056,0.002584903,0.015405884,0.012143972,8.22E-05,0.011321373,0,0.009440685,0.008141394,0.009810267,0.007848833,0.005350864,0.009381366,0.008255042,0.000262469,0.010122301,0.009637211,0.005926114,0.000137221,0.00501335,0.006695094,0.005932647,0.010228823,0.007559599,3.78E-05,0.000708368,0.000693719,0.000516878
01-02 10:00:00+01:00,0.025302198,0.012457352,0.015061031,0.002516651,0.015583657,0.012271161,8.02E-05,0.011554128,0,0.009318756,0.008849012,0.010785067,0.008511894,0.005372815,0.009834269,0.008855689,0.00087632,0.010316285,0.009600947,0.007850622,0.000236011,0.005134154,0.007430677,0.007226823,0.010234326,0.007346337,4.65E-05,0.001742925,0.001706882,0.000839773
01-02 11:00:00+01:00,0.023600577,0.012501184,0.015401668,0.002473379,0.015756023,0.012510275,8.67E-05,0.012060109,0,0.009292714,0.008992667,0.01087262,0.009047443,0.005388152,0.010207453,0.00939473,0.001428402,0.01013532,0.009494529,0.008517297,0.000315824,0.005109993,0.007803397,0.00750501,0.010231753,0.007153652,5.47E-05,0.00280426,0.002746268,0.001112113
01-02 12:00:00+01:00,0.021777224,0.012333054,0.015134025,0.002450617,0.01607597,0.012388174,8.99E-05,0.012171122,0,0.009295933,0.009177599,0.010561251,0.009231844,0.00540316,0.010293523,0.009594946,0.001698689,0.010219944,0.009432009,0.008958719,0.000361002,0.004996438,0.007683572,0.007117967,0.010228531,0.007011477,5.82E-05,0.003393349,0.003323175,0.000878739
01-02 13:00:00+01:00,0.018309121,0.011790719,0.014233769,0.002443395,0.015844797,0.012383087,9.09E-05,0.012510269,0,0.009315433,0.008360422,0.010466916,0.009070983,0.005407296,0.010021655,0.009471736,0.001507701,0.010219944,0.009402244,0.00883208,0.000269428,0.004764495,0.007670635,0.006561592,0.010226116,0.006886138,5.97E-05,0.003342229,0.003273113,0.000703857
01-02 14:00:00+01:00,0.015257601,0.011938569,0.013394342,0.002466521,0.015450271,0.012310165,9.67E-05,0.012035915,0,0.009536544,0.008852331,0.009982907,0.008916008,0.00540348,0.0095227,0.009487138,0.001197595,0.010537609,0.009543562,0.008405449,0.000137044,0.004863554,0.007593934,0.003501532,0.010214805,0.006895492,8.13E-05,0.002829819,0.002771299,0.000368271
01-02 15:00:00+01:00,0.012219434,0.012217914,0.013102367,0.002420995,0.015054619,0.012435658,0.00012143,0.012049062,0,0.009598021,0.008589001,0.009372502,0.008900314,0.005427721,0.009546838,0.009456335,0.000615357,0.010819471,0.009851122,0.008542729,0.000137593,0.005520726,0.007780294,0.001294176,0.010198767,0.007196679,0.000119167,0.001830558,0.001792703,0.000111424
01-02 16:00:00+01:00,0.0102728,0.013205108,0.014805553,0.002464711,0.015016766,0.013115693,0.000139546,0.012907408,0,0.009626449,0.008919417,0.009029071,0.009198495,0.005453924,0.009844114,0.010288,8.57E-05,0.011036238,0.009978829,0.008173449,0.000137772,0.006835069,0.008301178,0.000151189,0.010195318,0.007808406,0.000108032,0.000671854,0.00065796,1.33E-05
01-02 17:00:00+01:00,0.008988953,0.015155944,0.017019695,0.002508034,0.015746334,0.014594473,0.000146134,0.012822637,0,0.009570643,0.009864262,0.009198629,0.010448109,0.005455345,0.011105635,0.010734635,0,0.011091569,0.00988207,0.00823106,0.000137791,0.007091173,0.008680058,0,0.010194249,0.008184421,9.43E-05,0.000144838,0.000141843,0
01-02 18:00:00+01:00,0.00743887,0.015207626,0.016898039,0.002528991,0.016622808,0.013122477,0.000140399,0.012508982,0,0.009582081,0.010000646,0.010460134,0.010493229,0.005441741,0.011072922,0.01067303,0,0.010830537,0.009722997,0.009206549,0.000137886,0.007004194,0.008587032,0,0.010196538,0.008064695,8.72E-05,0,0,0
