,122_WIND_1,N_106,N_105,Network_Line_Out_N_118_N_121_cac1,N_103,N_118,Network_Line_Out_N_109_N_111_cac1,N_119,N_114,Network_Line_Out_N_101_N_102_cac1,N_104,N_101,N_113,Network_Line_Out_N_115_N_116_cac1,N_120,N_102,113_PV_1,N_116,N_115,N_108,Network_Line_Out_N_106_N_108_cac1,N_110,N_107,104_PV_1,Network_Line_Out_N_103_N_124_cac1,N_109,Network_Line_Out_N_117_N_118_cac1,102_PV_1,102_PV_2,119_PV_1
01-22 05:00:00+01:00,0.006149539,0.007519421,0.007956312,0.002555962,0.016002292,0.006554455,0.000194218,0.008536197,0.004092867,0.009100619,0.004575985,0.005506599,0.007976345,0.005396136,0.007735864,0.006899736,0,0.009298196,0.009058064,0.003895727,0.000736314,0.00740043,0.00382392,0.001548173,0.010195251,0.006229514,2.74E-05,0,0,0
01-22 06:00:00+01:00,0.007573002,0.01114829,0.012591411,0.002582246,0.017339984,0.009020219,0.000153972,0.011194803,0.005899109,0.00957951,0.007635711,0.007210802,0.010089115,0.005471556,0.01015346,0.008039425,0,0.010699696,0.009724423,0.004153937,0.000471955,0.00959664,0.005303402,0.001614696,0.010194054,0.007192937,7.36E-05,0,0,9.34E-07
01-22 07:00:00+01:00,0.008552579,0.015893886,0.015827465,0.009858494,0.01867993,0.012515363,0.004367127,0.013162524,0.006264201,0.010016732,0.008852896,0.010339286,0.011772269,0.006615796,0.012131811,0.008470659,0,0.011757492,0.010553231,0.005209095,0.000130391,0.010821588,0.006999739,0.002183166,0.007656136,0.00802728,0.001609871,0,0,1.55E-05
01-22 08:00:00+01:00,0.008712821,0.019088364,0.017360332,0.019830534,0.019117266,0.014606344,0.01235263,0.014088016,0.00791672,0.006683895,0.010078818,0.01225189,0.012417674,0.006178226,0.012856264,0.008178036,2.54E-05,0.011795248,0.010750308,0.007137755,0.001286869,0.011444935,0.008083707,0.003459199,0.003374699,0.008479996,0.006759165,0.00024586,0.000240775,0.000265591
01-22 09:00:00+01:00,0.008697798,0.020137707,0.017992944,0.019036419,0.019163906,0.015052352,0.009271755,0.014405471,0.009108071,0.003617504,0.009150728,0.013068847,0.012737434,0.006712786,0.013090655,0.007931617,0.000381636,0.011657246,0.010639706,0.00938535,0.001983967,0.011307219,0.008785406,0.001959406,0.004591093,0.008487479,0.006847337,0.000943273,0.000923766,0.001039656
01-22 10:00:00+01:00,0.009338887,0.019914624,0.017761797,0.015936246,0.019104648,0.015009956,0.008535933,0.01423216,0.009453947,0,0.010421427,0.013512162,0.01298461,0.008766867,0.013174503,0.007808407,0.000817659,0.011585641,0.010606656,0.010598807,0.000193088,0.010896487,0.009036144,0.002539971,0.00519212,0.008422003,0.007262041,0.00188898,0.001849917,0.001846532
01-22 11:00:00+01:00,0.010756746,0.019623503,0.018211925,0.004069636,0.01905553,0.015142232,0.003539198,0.014382821,0.010011192,0.00106422,0.010346213,0.013535592,0.013469155,0.006805503,0.013323141,0.007823808,0.001076583,0.011477583,0.010495707,0.010958744,1.67E-05,0.010908567,0.009039533,0.002830254,0.008175066,0.008173197,0.002156608,0.00254988,0.002497149,0.002279025
01-22 12:00:00+01:00,0.012536938,0.017643882,0.018090269,0.002415366,0.018990639,0.015150712,0.00014091,0.01435385,0.010645298,0.009213343,0.010387918,0.013320408,0.013131739,0.005492721,0.013273595,0.00797782,0.000776043,0.01142746,0.010522953,0.011341518,0.00013799,0.010898903,0.008960368,0.006470879,0.008661783,0.008053471,0.000100707,0.002840773,0.002782027,0.002353095
01-22 13:00:00+01:00,0.014376149,0.017325939,0.017494154,0.002460976,0.018517028,0.015386435,0.000140737,0.014485238,0.01129862,0.009177927,0.010148388,0.013239637,0.013190591,0.005483027,0.013140519,0.00836285,0.000559998,0.011396214,0.010544217,0.010995334,0.000137917,0.010524412,0.00875337,0.005696792,0.010207531,0.008006703,9.46E-05,0.002779917,0.002722429,0.002125324
01-22 14:00:00+01:00,0.014889783,0.018137151,0.016825045,0.002458253,0.018090733,0.015372868,0.000148014,0.013937767,0.010606868,0.009318813,0.008775897,0.012635397,0.012813941,0.005485435,0.012994422,0.008778683,0.000418153,0.011439177,0.010543585,0.010785133,0.000138017,0.010236899,0.008719795,0.004698947,0.008606518,0.007991737,9.27E-05,0.002424516,0.002374377,0.001478643
01-22 15:00:00+01:00,0.016496379,0.018578085,0.016460077,0.014170336,0.017638977,0.015189716,0.008073369,0.0136969,0.009761393,0.002644422,0.010715963,0.012373355,0.012535377,0.010277075,0.012767971,0.009040503,0.000349732,0.011504272,0.010601717,0.011060211,0.000194325,0.010348038,0.00864217,0.000574517,0.005376309,0.008105851,0.007437287,0.001472723,0.001442267,0.000577365
01-22 16:00:00+01:00,0.017648837,0.019202196,0.016885873,0.017487008,0.017537135,0.015138841,0.011835065,0.014394681,0.010395499,0.006638639,0.010923362,0.01232033,0.012556956,0.005001739,0.012541837,0.009856766,0.000134706,0.011784182,0.010818423,0.010773975,0.000611781,0.011295139,0.009001645,0.000126999,0.003169387,0.008410779,0.007564041,0.000570832,0.000559028,6.00E-05
01-22 17:00:00+01:00,0.019586172,0.020359482,0.019404155,0.020071238,0.018062343,0.016056295,0.015237069,0.014945539,0.010568437,0.002842354,0.012102815,0.012462141,0.013514274,0,0.013459075,0.010842443,3.06E-06,0.011997043,0.010671525,0.010708838,0.000201575,0.011599564,0.009572738,0.00390067,0,0.00887659,0.007874526,0.000183786,0.000179985,5.73E-06
01-22 18:00:00+01:00,0.021553075,0.020212941,0.019355493,0.020110891,0.019130559,0.015060832,0.015157309,0.014594605,0.01183665,0.001781234,0.011542149,0.013247036,0.01397724,2.36E-05,0.013546416,0.010981054,0,0.011810871,0.010458422,0.010836256,0.000404004,0.011365205,0.009567809,0,3.71E-16,0.008715707,0.007860161,0,0,0
01-22 19:00:00+01:00,0.022332349,0.019384718,0.019550143,0.019193207,0.019069049,0.014111156,0.012240092,0.01445914,0.013066431,0.002603201,0.011546507,0.013991238,0.0130415,0.000887646,0.013142742,0.010688431,0,0.011420299,0.010346807,0.012249015,0.005699297,0.010833669,0.009485564,0.003041918,0.001076004,0.008229319,0.007925988,0,0,0
01-22 20:00:00+01:00,0.021186807,0.017532013,0.018649887,0.015232393,0.018027419,0.012791786,0.007945143,0.013749055,0.012970355,0.008293826,0.009867152,0.014143531,0.011631025,0.007741966,0.0118682,0.010195593,0,0.011054464,0.010197413,0.012798652,0.006614495,0.009715027,0.009013966,0,0.005094591,0.007720482,0.00762266,0,0,0
01-22 21:00:00+01:00,0.019483278,0.015278934,0.018065938,0.002500093,0.017087632,0.011179034,0.000147891,0.012281683,0.012009588,0.009511569,0.007877206,0.01339563,0.010636434,0.005462412,0.010718794,0.009410132,0,0.010395701,0.009949021,0.012303512,0.000410237,0.008166325,0.008554381,0,0.010196711,0.0073295,9.63E-05,0,0,0
01-22 22:00:00+01:00,0.01837577,0.012528006,0.015584152,0.002500527,0.017074564,0.00945266,0.000128308,0.010691869,0.010914313,0.009537031,0.006879163,0.011476243,0.010432416,0.005432325,0.009883497,0.008378251,0,0.00968356,0.009640767,0.011264703,0.000548361,0.007028355,0.007982056,0,0.010197808,0.006693454,0.000100834,0,0,0
01-22 23:00:00+01:00,0.017211389,0.010061657,0.012554914,0.002545592,0.017221694,0.007938267,9.93E-05,0.009370679,0.010741375,0.009466004,0.005021695,0.009244255,0.010165622,0.005392432,0.008761087,0.007176958,0,0.008970117,0.009221721,0.010021403,0.0004749,0.006129576,0.007739942,6.05E-05,0.010216144,0.00590962,5.41E-05,0,0,0
01-23 00:00:00+01:00,0.01552491,0.007948578,0.008442937,0.002513832,0.016509475,0.006880058,0.000185341,0.008169079,0.011068036,0.009316042,0.003923779,0.007705293,0.009312275,0.005399469,0.007997569,0.006237485,0,0.008588008,0.00891331,0.007905638,0.000908587,0.005675354,0.006734831,5.44E-05,0.01021617,0.005329695,4.56E-05,0,0,0
01-23 01:00:00+01:00,0.014145562,0.006880918,0.006399113,0.002493132,0.016095121,0.006216981,0.00019426,0.007496016,0.009915116,0.00945299,0.0038697,0.006431456,0.008570745,0.005389309,0.007360457,0.00579085,0,0.008379703,0.008601766,0.00611815,0.000967528,0.005482068,0.005138912,3.63E-05,0.010217173,0.005021026,4.00E-05,0,0,0
01-23 02:00:00+01:00,0.013077756,0.006386994,0.005389367,0.002483985,0.015781033,0.005754014,0.000103702,0.007141818,0.009684531,0.009494066,0.003485363,0.005549759,0.007954766,0.005372272,0.007095575,0.005575233,0,0.008306797,0.008501285,0.005066366,0.000854453,0.005361265,0.004379303,1.81E-05,0.010222614,0.004856402,3.93E-05,0,0,0
01-23 03:00:00+01:00,0.012279406,0.00625877,0.005121724,0.002486466,0.015169304,0.005586125,0.00011947,0.007272146,0.009011995,0.009500779,0.003267645,0.005210028,0.00745649,0.005368719,0.006968217,0.005590635,0,0.008304844,0.00855684,0.004429015,0.000797942,0.005607704,0.003728122,3.02E-05,0.010222946,0.004948067,3.88E-05,0,0,0
01-23 04:00:00+01:00,0.012091264,0.006603535,0.00524338,0.002496286,0.014980265,0.005801498,0.000206973,0.007595036,0.007801428,0.009509056,0.003665146,0.005140972,0.007230892,0.005379773,0.007059686,0.00591406,0,0.00847995,0.008626235,0.00413655,0.000881333,0.006148904,0.003300264,6.05E-06,0.010216297,0.005299764,3.56E-05,0,0,0
01-23 05:00:00+01:00,0.012338185,0.007735308,0.007104719,0.00255984,0.015561802,0.006647727,0.000194245,0.008302248,0.007205753,0.009087616,0.00482588,0.005629913,0.008045005,0.005402327,0.008111588,0.006961341,0,0.009048882,0.008973733,0.004107226,0.000749549,0.007598548,0.003768782,0,0.010202128,0.006149073,2.76E-05,0,0,0
01-23 06:00:00+01:00,0.012699208,0.011642868,0.011666824,0.00259111,0.01674245,0.008947297,0.000152261,0.011082656,0.008262596,0.00956534,0.006766917,0.007339049,0.009953756,0.005475755,0.010440891,0.008054826,0,0.010426947,0.009647261,0.004328845,0.000476316,0.009514493,0.005148153,5.44E-05,0.010195176,0.007082564,7.07E-05,0,0,1.19E-06
01-23 07:00:00+01:00,0.012513927,0.016230147,0.014988037,0.006634029,0.017898765,0.012495013,0.004292725,0.013054352,0.007590059,0.010427904,0.008004965,0.010362715,0.011525092,0.007358952,0.012518017,0.008393653,0,0.011579132,0.010387155,0.005318607,7.37E-05,0.010633135,0.006817076,0.000374948,0.007830539,0.007868269,0.001476504,0,0,1.50E-05
01-23 08:00:00+01:00,0.011373035,0.019246027,0.016715555,0.020181302,0.018488863,0.014574123,0.009288243,0.014043716,0.008704549,0.008968072,0.009214788,0.012257439,0.012356861,0.007931061,0.013095737,0.008147233,6.51E-06,0.011617538,0.010578379,0.007311106,0.001369115,0.011234737,0.007793848,0.000997846,0.004777831,0.008262992,0.006340757,0.000195957,0.000191905,0.000213424
01-23 09:00:00+01:00,0.010340044,0.020371258,0.018564728,0.018853099,0.018731527,0.015235504,0.008823779,0.014564532,0.010011192,0.006852615,0.009552181,0.012912855,0.012851214,0.007399745,0.0133206,0.007823808,0.000103142,0.011633161,0.010450858,0.009531712,0.003429656,0.011075276,0.008386811,0.001354651,0.005051729,0.008176938,0.006771007,0.000576918,0.000564987,0.000956375
01-23 10:00:00+01:00,0.009555405,0.020123969,0.018370078,0.011217138,0.01880543,0.015072703,0.003994191,0.014559796,0.008819841,0.008263485,0.00955182,0.013252585,0.012964993,0.010370038,0.013527678,0.007854611,0.000346575,0.011660501,0.01031535,0.010786431,3.08E-05,0.010816756,0.008321816,0.001687267,0.007923534,0.007971159,0.006043684,0.00116479,0.001140702,0.001911943
01-23 11:00:00+01:00,0.009319214,0.020068362,0.01861339,0.003152229,0.018921467,0.0147471,0.003619899,0.014821842,0.00960767,0.009035593,0.009731897,0.013266767,0.012668774,0.008200171,0.013557215,0.007623593,0.000713449,0.011595405,0.010345224,0.010985992,4.78E-05,0.010509915,0.008270375,0.001929169,0.008343165,0.007675584,0.002136858,0.001818387,0.001780783,0.002345709
01-23 12:00:00+01:00,0.008835387,0.018640889,0.018065938,0.002445566,0.018930255,0.014129811,0.000152365,0.014813482,0.009819039,0.009513524,0.009478141,0.012900523,0.012227387,0.00551589,0.013428903,0.007500383,0.000934301,0.011420299,0.010259476,0.011316345,0.00019225,0.010326294,0.008183509,0.001790075,0.010206782,0.007606367,9.33E-05,0.002325929,0.002277829,0.00218042
01-23 13:00:00+01:00,0.008304227,0.018340609,0.017202179,0.002471315,0.018605576,0.014550381,0.000157173,0.014840682,0.00985747,0.0095216,0.009033514,0.012781525,0.012239158,0.005512234,0.013154811,0.007638994,0.000963874,0.011286854,0.01025969,0.010841187,0.000202829,0.009823751,0.008116358,0.00145746,0.010202688,0.007505348,9.58E-05,0.002154314,0.002109763,0.001749073
01-23 14:00:00+01:00,0.007478454,0.018890794,0.016301924,0.002451115,0.018279546,0.014699616,0.000158612,0.014488059,0.009550024,0.00952441,0.008983635,0.012074934,0.01199002,0.005512352,0.01287532,0.007947018,0.000859858,0.011250401,0.010278012,0.010461787,0.000200861,0.009574895,0.0080221,0.001155082,0.010201428,0.007525926,9.39E-05,0.00182569,0.001787935,0.001058163
01-23 15:00:00+01:00,0.006498043,0.019327803,0.015778802,0.003964053,0.017933463,0.01476745,0.003948765,0.014019213,0.008358673,0.009821893,0.008782671,0.011810425,0.011891934,0.007129565,0.012592336,0.008393653,0.000436218,0.011470423,0.010246365,0.01096082,0.000170009,0.009741604,0.00806122,0.000483804,0.007962238,0.007617592,0.002131063,0.001224429,0.001199108,0.000326503
01-23 16:00:00+01:00,0.005646517,0.020029764,0.016435745,0.014641151,0.017847618,0.01500826,0.008935683,0.014536756,0.00787829,0.011173901,0.008525257,0.011679712,0.01189978,0.009745154,0.012490068,0.009579545,0.000134804,0.012662967,0.010418626,0.010759961,0.00172438,0.010727362,0.008518033,7.86E-05,0.005064123,0.007976771,0.007413536,0.000558661,0.000547108,3.28E-05
01-23 17:00:00+01:00,0.005402695,0.02091621,0.01919734,0.019149411,0.018250255,0.015998636,0.011856837,0.014969156,0.009127287,0.008864542,0.009789995,0.011742602,0.012729587,0.002898393,0.013380627,0.010780838,4.81E-06,0.013045075,0.010405719,0.010617491,0.00030614,0.011191248,0.009436587,5.44E-05,0.001459965,0.008592239,0.007524909,0.000187437,0.000183561,5.94E-06
01-23 18:00:00+01:00,0.004852101,0.020712098,0.019063518,0.020645575,0.019294138,0.014916685,0.0116173,0.014542984,0.011663712,0.006976062,0.009993127,0.012508384,0.013259251,0.001876648,0.013270419,0.010981054,0,0.012245706,0.010233905,0.010710136,0.00031246,0.011014874,0.009463386,2.42E-05,0.001453898,0.008539859,0.007333523,0,0,0
01-23 19:00:00+01:00,0.00486307,0.019770045,0.018966193,0.019157818,0.019304277,0.0138483,0.009228658,0.014364403,0.013393092,0.007726682,0.009796521,0.013376516,0.012388248,0.00379283,0.012807353,0.01067303,0,0.011819333,0.010089773,0.011975494,0.004511317,0.01047882,0.009287807,0,0.004083823,0.008014185,0.00733876,0,0,0
01-23 20:00:00+01:00,0.00493711,0.0179579,0.018467403,0.015800689,0.018264,0.012525538,0.007433237,0.013698825,0.013316231,0.008939594,0.008783529,0.013559021,0.011395619,0.009712261,0.011663346,0.01016479,0,0.011487347,0.010067253,0.012556013,0.012818698,0.009442011,0.009042305,1.81E-05,0.007175128,0.007451097,0.007127445,0,0,0
01-23 21:00:00+01:00,0.005762406,0.015643326,0.017627976,0.002539434,0.01735125,0.011129855,0.000140829,0.012047765,0.012259387,0.009552609,0.007342056,0.012861063,0.010175431,0.005462826,0.010616843,0.009348527,0,0.011120211,0.009885127,0.012170385,0.000346679,0.007912637,0.008586108,1.81E-05,0.010200837,0.007050762,8.94E-05,0,0,0
01-23 22:00:00+01:00,0.006185427,0.012889781,0.015207018,0.002519985,0.017292894,0.009459444,0.000119376,0.010632939,0.011394697,0.009542832,0.006587878,0.011067456,0.010053804,0.005433744,0.009954958,0.008285844,0,0.010336465,0.009552186,0.010996372,0.000483104,0.006769835,0.008207228,1.21E-05,0.010202325,0.006358594,9.59E-05,0,0,0
01-23 23:00:00+01:00,0.006385372,0.010484927,0.01206829,0.002551421,0.0174585,0.007999318,9.48E-05,0.0093062,0.012528402,0.009444466,0.004882443,0.008902058,0.009959642,0.005391757,0.008720434,0.007161557,0,0.009701136,0.009076947,0.009762414,0.000462652,0.00608367,0.007863463,1.21E-05,0.010219529,0.005552311,4.64E-05,0,0,0
01-24 00:00:00+01:00,0.006676169,0.008322783,0.008832236,0.002527076,0.016914365,0.006919062,0.000106016,0.008219979,0.013104862,0.009324221,0.003799679,0.007342132,0.009072945,0.005398407,0.007926426,0.006222084,0,0.009254583,0.008813309,0.007787562,0.000862776,0.005503813,0.006586975,0,0.01021808,0.005056569,4.17E-05,0,0,0
01-24 01:00:00+01:00,0.006723383,0.007132786,0.007153381,0.002503753,0.016583603,0.006310253,0.000105332,0.007545557,0.010952744,0.009468565,0.00383601,0.006097891,0.008258832,0.005387062,0.007290584,0.005744647,0,0.008985089,0.008657716,0.006031993,0.000852924,0.005257374,0.00519097,6.05E-06,0.010219621,0.004833953,3.69E-05,0,0,0
01-24 02:00:00+01:00,0.006142505,0.006479891,0.006289623,0.002495502,0.016291821,0.005876115,9.75E-05,0.007168761,0.010241776,0.009509517,0.003486108,0.005356772,0.007711513,0.005371746,0.006855467,0.005544431,0,0.008901116,0.008458989,0.004981507,0.000722179,0.005163147,0.004238224,6.05E-06,0.010224918,0.004762866,3.64E-05,0,0,0
01-24 03:00:00+01:00,0.005625652,0.006169144,0.006094973,0.002496361,0.015695639,0.005726881,9.74E-05,0.007342421,0.010068838,0.009511803,0.003250529,0.005056502,0.007340748,0.005368325,0.006850386,0.005559832,0,0.008977928,0.008437177,0.004331959,0.000670621,0.005238045,0.003705327,6.05E-06,0.010225211,0.004787185,3.64E-05,0,0,0
01-24 04:00:00+01:00,0.004792844,0.006481853,0.006496438,0.002506533,0.015530708,0.005913424,0.000100563,0.007542674,0.009665316,0.009518093,0.003649362,0.005022591,0.007281897,0.005378403,0.007034596,0.005929461,0,0.009278668,0.008521984,0.004034823,0.000738595,0.005692267,0.003400683,0,0.010223606,0.005004189,3.33E-05,0,0,0
01-24 05:00:00+01:00,0.003811241,0.007673813,0.008479433,0.00257311,0.016139734,0.006827487,0.00014596,0.00847492,0.00845475,0.009347826,0.004871582,0.005401782,0.008070507,0.005405313,0.007863858,0.00694594,0,0.009714155,0.008853314,0.003970984,0.000724149,0.006272124,0.003752764,6.05E-06,0.01021707,0.005773057,2.88E-05,0,0,0
01-24 06:00:00+01:00,0.003634187,0.011419785,0.013309182,0.002607285,0.017509646,0.009177933,0.000142642,0.011187864,0.007974366,0.009571924,0.006486268,0.007089954,0.010269593,0.005471173,0.01009248,0.007993221,0,0.011212646,0.009509243,0.004188711,0.000336249,0.007422175,0.005068681,1.21E-05,0.010199068,0.006691583,6.75E-05,0,0,1.44E-06
01-24 07:00:00+01:00,0.003135337,0.016298184,0.016666892,0.007228688,0.018852296,0.012656118,0.004047625,0.013140554,0.009434732,0.010016901,0.007881226,0.010071077,0.01199002,0.007088962,0.012058445,0.008347449,0,0.012528219,0.010317199,0.004925194,4.89E-05,0.008717552,0.006946757,0.000562422,0.007932329,0.00750909,0.001383449,0,0,1.43E-05
01-24 08:00:00+01:00,0.003002518,0.019172102,0.018248422,0.021933102,0.01933492,0.014694528,0.00896881,0.014225592,0.010837452,0.008068736,0.008912394,0.011806109,0.012713893,0.007095136,0.01271906,0.008255042,5.44E-06,0.012491766,0.010561165,0.007102981,0.000195703,0.009729524,0.007889646,0.00239483,0.004881613,0.007900071,0.006048637,0.000226386,0.000221704,7.54E-05
01-24 09:00:00+01:00,0.002765731,0.020446492,0.018467403,0.020614526,0.019422567,0.015350822,0.009022762,0.014559745,0.012317033,0.006595836,0.008674286,0.012353008,0.012976764,0.00675779,0.012901681,0.008039425,0.000107173,0.012388265,0.010450031,0.009083283,0.00210997,0.010147504,0.008277459,0.00451752,0.004923463,0.00792252,0.006441563,0.000954227,0.000934494,0.000266992
01-24 10:00:00+01:00,0.003030655,0.020513875,0.018211925,0.015097395,0.019322753,0.015301642,0.008684088,0.014704836,0.012893493,0.007190214,0.008522999,0.012551544,0.012829635,0.010458813,0.013140519,0.008378251,0.00037508,0.012369387,0.010409769,0.010116642,0.000194877,0.010162001,0.008332289,0.006005218,0.005453184,0.007797181,0.007171253,0.002212736,0.002166977,0.000484236
01-24 11:00:00+01:00,0.00300526,0.020074249,0.018272753,0.003239603,0.019262368,0.015025219,0.003852862,0.014868911,0.012951139,0.008202133,0.008288166,0.012527497,0.012953223,0.007293703,0.013200864,0.00887109,0.000725831,0.012201442,0.010302966,0.010280391,4.03E-05,0.010065358,0.008136072,0.006791399,0.008121769,0.007563341,0.0022673,0.003277722,0.003209939,0.000611238
01-24 12:00:00+01:00,0.002743078,0.018425655,0.017761797,0.001578788,0.019189817,0.014382492,0.003737342,0.014879896,0.011817434,0.008444019,0.008615352,0.012333894,0.012227387,0.007429411,0.013002679,0.008917293,0.000916674,0.011896796,0.01020559,0.010483326,3.75E-05,0.009915561,0.007865311,0.007057491,0.00825489,0.007421166,0.001210249,0.003819343,0.00374036,0.000605847
01-24 13:00:00+01:00,0.002212632,0.018540795,0.016861542,0.002367608,0.018854324,0.014445239,0.000160821,0.014972399,0.011529204,0.009477914,0.00788958,0.012280869,0.012135187,0.005504457,0.012900729,0.00874788,0.00112558,0.011732756,0.010167601,0.009741913,0.000162359,0.009515218,0.007487355,0.004432854,0.010199597,0.007258413,0.000116054,0.003826646,0.003747511,0.000530376
01-24 14:00:00+01:00,0.001771727,0.019024906,0.016009949,0.002351396,0.018392429,0.014704703,0.000165966,0.014568012,0.011644496,0.00950597,0.00794226,0.011565646,0.012023369,0.005511194,0.012639024,0.008670874,0.001118005,0.011670916,0.010231756,0.009447632,0.000155581,0.009342952,0.007202117,0.004178857,0.010196163,0.007301439,0.000120669,0.003255813,0.003188484,0.000360376
01-24 15:00:00+01:00,0.001595628,0.019181261,0.015316509,0.000433458,0.017973569,0.014792888,0.000170413,0.014279786,0.010395499,0.00954857,0.007751999,0.011264143,0.012046909,0.005524838,0.012511347,0.008886491,0.000548003,0.011767908,0.01026617,0.009709215,0.000196521,0.009516909,0.007099542,0.00180217,0.00881122,0.007520314,0.00012269,0.002131189,0.002087116,0.000144023
01-24 16:00:00+01:00,0.001475923,0.019425279,0.015997783,0.003001213,0.017833649,0.014992998,0.004508127,0.014794858,0.008435534,0.009394534,0.007993652,0.011060058,0.012123416,0.008960969,0.012400503,0.009995377,0.000171515,0.012162385,0.01038628,0.009314245,3.94E-06,0.010287636,0.007880405,0.000102808,0.007630936,0.00776912,0.005922228,0.000939622,0.00092019,2.26E-05
01-24 17:00:00+01:00,0.001237109,0.020606772,0.019160843,0.014671935,0.01830005,0.015932498,0.012308848,0.015171026,0.008819841,0.008189683,0.009571035,0.011029229,0.012970878,0.005131249,0.012946146,0.011073461,8.35E-06,0.012451407,0.010374285,0.009022558,0.000295326,0.010594478,0.00920279,3.02E-05,0.001876209,0.008392072,0.008248457,0.000275071,0.000269382,5.94E-06
01-24 18:00:00+01:00,0.001574524,0.020777519,0.019331162,0.01964009,0.019402289,0.015096444,0.011885938,0.014845819,0.010683729,0.006581832,0.009856449,0.011838787,0.013355375,0.002646768,0.012971872,0.011165868,0,0.012110959,0.010236172,0.009208625,0.00030086,0.010454345,0.00944244,3.63E-05,0.001813556,0.008289182,0.007447573,0,0,0
01-24 19:00:00+01:00,0.001581916,0.019908082,0.01969613,0.019167067,0.019453886,0.014148465,0.009064053,0.014665539,0.012355464,0.007415104,0.00968204,0.0128327,0.012409827,0.003864012,0.012492926,0.010750036,0,0.011777672,0.010092311,0.010891531,0.000195142,0.010046029,0.009360811,2.42E-05,0.004168512,0.007787828,0.007323766,0,0,0
01-24 20:00:00+01:00,0.001739059,0.017986685,0.018747212,0.012612338,0.018395358,0.012861316,0.00360082,0.013803147,0.013412307,0.008854592,0.008915894,0.013050967,0.011134711,0.006258573,0.011293338,0.010195593,0,0.011240637,0.009987495,0.011577669,8.62E-06,0.009057856,0.00908543,0,0.007861685,0.007297698,0.005102863,0,0,0
01-24 21:00:00+01:00,0.00135288,0.015864447,0.01800511,0.002543223,0.017417493,0.01122143,0.000143168,0.012337833,0.012682125,0.009559002,0.00750583,0.012361023,0.010047919,0.005452967,0.010315755,0.009363928,0,0.010651525,0.009786349,0.011263925,0.000221788,0.007651701,0.008603666,3.02E-05,0.01019937,0.00694226,8.98E-05,0,0,0
01-24 22:00:00+01:00,0.000925924,0.01296894,0.015462496,0.002522581,0.017371078,0.009620549,0.00012253,0.010788305,0.011702142,0.009533314,0.00664758,0.010755471,0.01026567,0.005425379,0.009518571,0.008316647,0,0.009842392,0.009461379,0.010361098,0.000405791,0.006455746,0.008025488,2.42E-05,0.010200066,0.006261316,9.67E-05,0,0,0
01-24 23:00:00+01:00,0.000672923,0.010495395,0.012214277,0.002548224,0.017528347,0.008138378,9.77E-05,0.009599821,0.011260189,0.009432386,0.005213356,0.008725718,0.010244091,0.005388695,0.008368847,0.007130754,0,0.009352876,0.009057589,0.009029824,0.000428475,0.005740588,0.007450391,3.02E-05,0.010217864,0.005460646,4.65E-05,0,0,0
01-25 00:00:00+01:00,0.000524484,0.008089232,0.009258033,0.00252333,0.016882371,0.00712426,0.000167246,0.008530185,0.011548419,0.009314704,0.004090579,0.007429069,0.009343662,0.005396631,0.007611363,0.006206683,0,0.009067108,0.008755572,0.007322784,0.00081976,0.005254958,0.006312826,3.63E-05,0.010216563,0.005004189,4.34E-05,0,0,0
01-25 01:00:00+01:00,0.000437328,0.007102039,0.0073237,0.002498759,0.016464863,0.006371303,0.000121987,0.00783962,0.011317835,0.009466493,0.003904767,0.006219972,0.008651176,0.005385139,0.007088588,0.005760048,0,0.008836021,0.008565688,0.005648441,0.000841088,0.005095497,0.005068989,3.63E-05,0.010218242,0.004798409,3.84E-05,0,0,0
01-25 02:00:00+01:00,0.000512203,0.006511292,0.006289623,0.002492372,0.016132749,0.006010088,9.97E-05,0.007507928,0.010971959,0.009508915,0.00349304,0.005382052,0.00785668,0.005368665,0.006747165,0.005544431,0,0.008697368,0.008477886,0.00467944,0.000718385,0.004904627,0.004220358,3.63E-05,0.010224,0.004678683,3.76E-05,0,0,0
01-25 03:00:00+01:00,0.000495988,0.006379797,0.006046311,0.002493817,0.015548058,0.005786236,9.97E-05,0.007502049,0.010107269,0.009513328,0.003300521,0.005082398,0.007403523,0.005364396,0.006505786,0.00552903,0,0.00867133,0.008446804,0.004071933,0.000660347,0.005093081,0.003611993,3.02E-05,0.010224055,0.004766607,3.75E-05,0,0,0
01-25 04:00:00+01:00,0.000493961,0.006583255,0.006374782,0.002502519,0.015362173,0.005950733,0.000103302,0.007778209,0.009223363,0.009518528,0.003367946,0.004988063,0.007277973,0.005375114,0.006750023,0.005867856,0,0.008903069,0.00852468,0.003799969,0.000735115,0.005450659,0.003359407,0,0.010222588,0.005037862,3.42E-05,0,0,0
01-25 05:00:00+01:00,0.000556079,0.007886429,0.008296949,0.002568625,0.015935373,0.006796961,0.000191424,0.008672764,0.008358673,0.009156307,0.004660796,0.00537157,0.008060699,0.005398502,0.007708232,0.006868934,0,0.009449217,0.008828864,0.003689678,0.000688901,0.006559637,0.003771555,3.63E-05,0.010206322,0.005801118,2.76E-05,0,0,0
01-25 06:00:00+01:00,0.000817546,0.011612775,0.013005042,0.002601271,0.017187672,0.009094836,0.000144916,0.011340583,0.008512396,0.009568704,0.006613439,0.007041245,0.010089115,0.005463811,0.009994341,0.007947018,0,0.010838348,0.009452009,0.003819172,0.000330485,0.008378939,0.005220541,3.02E-05,0.010196893,0.006751446,7.04E-05,0,0,1.61E-06
