LoadLevel,vTotalCCost,vTotalECost,vTotalGCost,vTotalRCost
01-04 07:00:00+01:00,0.0,0.0,8.495033536409759,0.0
01-04 08:00:00+01:00,0.0,0.0,5.451971111539707,0.0
01-04 09:00:00+01:00,0.0,0.0,2.852949404844788,0.0
01-04 10:00:00+01:00,0.0,0.0,1.9506551229001992,0.0
01-04 11:00:00+01:00,0.0,0.0,1.2080348536049716,0.0
01-04 12:00:00+01:00,0.0,0.0,1.150561325283999,0.0
01-04 13:00:00+01:00,0.0,0.0,1.3713710011101514,0.0
01-04 14:00:00+01:00,0.0,0.0,2.725491136804944,0.0
01-04 15:00:00+01:00,0.0,0.0,4.573920917614962,0.0
01-04 16:00:00+01:00,0.0,0.0,7.918879895075018,0.0
01-04 17:00:00+01:00,0.0,0.0,10.88999270104457,0.0
01-04 18:00:00+01:00,0.0,0.3855370693744221,15.499154973015786,0.0
01-04 19:00:00+01:00,0.0,0.9346745339024356,20.412590682752,0.0
01-04 20:00:00+01:00,0.0,1.2924209030936655,23.60059702717035,0.0
01-04 21:00:00+01:00,0.0,1.4916307753671976,25.372085825033253,0.0
01-04 22:00:00+01:00,0.0,1.325762151424258,23.872506772472097,0.0
01-04 23:00:00+01:00,0.0,0.8579013753016931,19.660580402026103,0.0
01-05 00:00:00+01:00,0.0,0.2166405420910755,13.876212314411738,0.0
01-05 01:00:00+01:00,0.0,0.0,11.098001475509538,0.0
01-05 02:00:00+01:00,0.0,0.0,10.156915975094783,0.0
01-05 03:00:00+01:00,0.0,0.0,9.840740798879873,0.0
01-05 04:00:00+01:00,0.0,0.0,9.893885184330005,0.0
01-05 05:00:00+01:00,0.0,0.0,10.363400111220257,0.0
01-05 06:00:00+01:00,0.0,0.0,11.524610998889743,0.0
01-05 07:00:00+01:00,0.0,0.5068315098397513,16.380110599846102,0.0
01-05 08:00:00+01:00,0.0,0.0,10.535980130675169,0.0
01-05 09:00:00+01:00,0.0,0.0,8.423331090399794,0.0
01-05 10:00:00+01:00,0.0,0.0,7.491096858504844,0.0
01-05 11:00:00+01:00,0.0,0.0,6.289717213274907,0.0
01-05 12:00:00+01:00,0.0,0.0,5.323048274515088,0.0
01-05 13:00:00+01:00,0.0,0.0,5.549703673600063,0.0
01-05 14:00:00+01:00,0.0,0.0,6.249605586505058,0.0
01-05 15:00:00+01:00,0.0,0.0,7.649118394179843,0.0
01-05 16:00:00+01:00,0.0,0.0,10.95546767227979,0.0
01-05 17:00:00+01:00,0.0,0.595323975450909,17.32122997477892,0.0
01-05 18:00:00+01:00,0.0,0.9316983993373306,20.389894918715093,0.0
01-05 19:00:00+01:00,0.0,1.0479783251957762,21.44013364246996,0.0
01-05 20:00:00+01:00,0.0,1.1245474270220777,22.112299832233088,0.0
01-05 21:00:00+01:00,0.0,1.328987252412088,23.9214524825421,0.0
01-05 22:00:00+01:00,0.0,1.217327227980714,22.879364484750084,0.0
01-05 23:00:00+01:00,0.0,0.913534192557352,20.12134232118137,0.0
01-06 00:00:00+01:00,0.0,0.4937239597130341,16.32085574923431,0.0
01-06 01:00:00+01:00,0.0,0.0,11.318059287839732,0.0
01-06 02:00:00+01:00,0.0,0.0,9.490323286049982,0.0
01-06 03:00:00+01:00,0.0,0.0,8.297804659814966,0.0
01-06 04:00:00+01:00,0.0,0.0,7.980949322355199,0.0
01-06 05:00:00+01:00,0.0,0.0,7.991891931689886,0.0
01-06 06:00:00+01:00,0.0,0.0,8.354137156890191,0.0
01-06 07:00:00+01:00,0.0,0.0,8.79137957997983,0.0
01-06 08:00:00+01:00,0.0,0.0,4.349182266444551,0.0
01-06 09:00:00+01:00,0.0,0.0,2.0054670003050603,0.0
01-06 10:00:00+01:00,0.0,0.0,1.809072677644889,0.0
01-06 11:00:00+01:00,0.0,0.0,1.3871957824450296,0.0
01-06 12:00:00+01:00,0.0,0.0,1.12793240709149,0.0
01-06 13:00:00+01:00,0.0,0.0,1.1494359317109293,0.0
01-06 14:00:00+01:00,0.0,0.0,2.3024132267447674,0.0
01-06 15:00:00+01:00,0.0,0.0,3.779219256714878,0.0
01-06 16:00:00+01:00,0.0,0.0,6.547188759094737,0.0
01-06 17:00:00+01:00,0.0,0.0,9.158126861699923,0.0
01-06 18:00:00+01:00,0.0,0.0,10.607945134619635,0.0
01-06 19:00:00+01:00,0.0,0.0,11.983897919489726,0.0
01-06 20:00:00+01:00,0.0,0.2092670222789636,14.047176735727474,0.0
01-06 21:00:00+01:00,0.0,0.5862882504183106,17.40217280402174,0.0
01-06 22:00:00+01:00,0.0,0.6364457157083284,17.809253165382696,0.0
01-06 23:00:00+01:00,0.0,0.285579306091155,14.61562202347598,0.0
01-07 00:00:00+01:00,0.0,0.0,10.949978565284688,0.0
01-07 01:00:00+01:00,0.0,0.0,9.256827672719822,0.0
01-07 02:00:00+01:00,0.0,0.0,8.24263050272965,0.0
01-07 03:00:00+01:00,0.0,0.0,7.696989970304803,0.0
01-07 04:00:00+01:00,0.0,0.0,7.557802919609802,0.0
01-07 05:00:00+01:00,0.0,0.0,7.66429556012988,0.0
01-07 06:00:00+01:00,0.0,0.0,9.072788329469894,0.0
01-07 07:00:00+01:00,0.0,0.0,11.396412482925063,0.0
01-07 08:00:00+01:00,0.0,0.0,8.404301890654985,0.0
01-07 09:00:00+01:00,0.0,0.0,6.435203218979965,0.0
01-07 10:00:00+01:00,0.0,0.0,4.649830798294635,0.0
01-07 11:00:00+01:00,0.0,0.0,3.517663035269876,0.0
01-07 12:00:00+01:00,0.0,0.0,2.9273899626197952,0.0
01-07 13:00:00+01:00,0.0,0.0,3.582963232389897,0.0
01-07 14:00:00+01:00,0.0,0.0,4.636665741819628,0.0
01-07 15:00:00+01:00,0.0,0.0,6.712957710910081,0.0
01-07 16:00:00+01:00,0.0,0.0,10.025248565600045,0.0
01-07 17:00:00+01:00,0.0,0.1787877507977892,13.99193109446308,0.0
01-07 18:00:00+01:00,0.0,0.776400286132885,19.388443120165075,0.0
01-07 19:00:00+01:00,0.0,1.0932796002595908,22.256327901376515,0.0
01-07 20:00:00+01:00,0.0,1.187162847190189,23.092164556785228,0.0
01-07 21:00:00+01:00,0.0,1.1816607418897824,22.99444122518556,0.0
01-07 22:00:00+01:00,0.0,0.7774696004687197,19.292506670461183,0.0
01-07 23:00:00+01:00,0.0,0.3292067217229419,15.193489369492694,0.0
01-08 00:00:00+01:00,0.0,0.0,11.634193479989914,0.0
01-08 01:00:00+01:00,0.0,0.0,10.421753078190042,0.0
01-08 02:00:00+01:00,0.0,0.0,9.935687634179944,0.0
01-08 03:00:00+01:00,0.0,0.0,9.783207117990138,0.0
01-08 04:00:00+01:00,0.0,0.0,9.67325483383495,0.0
01-08 05:00:00+01:00,0.0,0.0,10.031939834069744,0.0
01-08 06:00:00+01:00,0.0,0.0,11.489846207834724,0.0
01-08 07:00:00+01:00,0.0,0.7788983427382957,19.11601842364689,0.0
01-08 08:00:00+01:00,0.0,0.1508148980415724,13.711536326379813,0.0
01-08 09:00:00+01:00,0.0,0.0,9.979892741889984,0.0
01-08 10:00:00+01:00,0.0,0.0,8.194878400544669,0.0
01-08 11:00:00+01:00,0.0,0.0,6.611136890365015,0.0
01-08 12:00:00+01:00,0.0,0.0,5.749748712034949,0.0
01-08 13:00:00+01:00,0.0,0.0,6.001106895745165,0.0
01-08 14:00:00+01:00,0.0,0.0,6.613585754469913,0.0
01-08 15:00:00+01:00,0.0,0.0,8.986158369309944,0.0
01-08 16:00:00+01:00,0.0,0.1413550599097536,13.525646383416916,0.0
01-08 17:00:00+01:00,0.0,1.2008518671143404,22.929074235135573,0.0
01-08 18:00:00+01:00,0.0,1.8715881349768644,28.97801614353682,0.0
01-08 19:00:00+01:00,0.0,2.2411942561009632,32.311000803499994,0.0
01-08 20:00:00+01:00,0.0,2.2579036634690124,32.47100616563547,0.0
01-08 21:00:00+01:00,0.0,1.999262990034084,30.16363251169691,0.0
01-08 22:00:00+01:00,0.0,1.2530824001133525,23.469489213065074,0.0
01-08 23:00:00+01:00,0.0,0.4977597697955878,16.669327956153587,0.0
01-09 00:00:00+01:00,0.0,0.0,11.596662246389888,0.0
01-09 01:00:00+01:00,0.0,0.0,9.78633584615983,0.0
01-09 02:00:00+01:00,0.0,0.0,9.12060924422994,0.0
01-09 03:00:00+01:00,0.0,0.0,8.644350871784704,0.0
01-09 04:00:00+01:00,0.0,0.0,8.48516977556985,0.0
01-09 05:00:00+01:00,0.0,0.0,8.733765669914867,0.0
01-09 06:00:00+01:00,0.0,0.0,10.293873045870193,0.0
