LoadLevel,Node_1_Node_6_cac1,Node_1_Node_6_cac2,Node_1_Node_6_cac3,Node_1_Node_6_eac1,Node_2_Node_3_cac1,Node_2_Node_3_cac2,Node_2_Node_3_cac3,Node_2_Node_3_eac1,Node_2_Node_6_cac1,Node_2_Node_6_cac2,Node_2_Node_6_cac3,Node_2_Node_6_eac1,Node_3_Node_4_cac1,Node_3_Node_4_cac2,Node_3_Node_4_cac3,Node_3_Node_4_eac1,Node_3_Node_6_cac1,Node_3_Node_6_cac2,Node_3_Node_6_cac3,Node_3_Node_6_eac1,Node_4_Node_5_cac1,Node_4_Node_5_cac2,Node_4_Node_5_cac3,Node_4_Node_5_eac1,Node_4_Node_6_cac1,Node_4_Node_6_cac3,Node_4_Node_6_eac1,Node_4_Node_9_cac1,Node_4_Node_9_cac2,Node_4_Node_9_cac3,Node_4_Node_9_eac1,Node_6_Node_7_cac1,Node_6_Node_7_cac2,Node_6_Node_7_cac3,Node_6_Node_7_eac1,Node_6_Node_8_cac1,Node_6_Node_8_cac2,Node_6_Node_8_cac3,Node_6_Node_8_eac1,Node_7_Node_8_cac1,Node_7_Node_8_cac2,Node_7_Node_8_cac3,Node_7_Node_8_eac1,Node_8_Node_9_cac1,Node_8_Node_9_cac2,Node_8_Node_9_cac3,Node_8_Node_9_eac1
12-26 21:00:00+01:00,-0.3,0.4361780625999997,1.2,-0.3,0.3,0.1014761691999999,1.2,0.3,-0.3,-0.6,-1.2,0.0,-0.3,0.2278383446199999,1.2,0.3,-0.3,0.6,0.3052838527900001,-0.15,0.3,0.6,-0.3170761691999999,-0.3,0.3,1.2,-0.3,-0.3,-0.6,0.6562986266200002,0.0,0.3,0.6,1.2,0.1971539718,-0.3,-0.6,-1.2,0.3,0.3,0.6,1.2,0.0792690423000001,-0.3,-0.6,0.96158630288,0.3
12-26 22:00:00+01:00,-0.3,0.3866192639099997,1.2,-0.3,-0.1832970495999999,0.6,1.2,0.3,-0.3,-0.6,-1.2,0.0,-0.3,0.2028575145800003,1.2,0.3,0.3,-0.6,0.9496292608799994,-0.15,0.3,0.6,-0.3275029504,-0.3,0.3,1.2,-0.3,-0.3,-0.6,0.6486957652800003,0.0,0.3,0.6,1.2,0.1954161749199999,-0.3,-0.6,-1.2,0.3,0.3,0.6,1.2,0.0818757376200001,-0.3,-0.6,0.96484467202,0.3
12-26 23:00:00+01:00,-0.3,0.3281379314399993,1.2,-0.3,-0.1732401061999998,0.6,1.2,0.3,-0.3,-0.6,-1.2,0.0,-0.3,0.6,0.7624710877799996,0.3,0.3,-0.6,0.99968212165,-0.15,0.3,0.6,-0.3443598937999998,-0.3,0.3,1.2,-0.3,-0.3,-0.6,0.6364042440799997,0.0,0.3,0.6,1.2,0.19260668436,-0.3,-0.6,-1.2,0.3,0.3,0.6,1.2,0.08608997346,-0.3,-0.6,0.97011246682,0.3
12-27 00:00:00+01:00,-0.3,0.6,0.86954298393,-0.3,0.3,0.1285001885999996,1.2,0.3,-0.3,-0.6,-1.2,0.0,-0.3,0.1151766315699991,1.2,0.3000000000000005,-0.3,-0.1515930782099999,1.2,-0.15,0.3,0.6,-0.3641001885999999,-0.3,0.3,1.2,-0.3,-0.3,-0.6,0.6220102791699997,0.0,0.3,0.6,1.2,0.18931663524,-0.3,-0.6,-1.2,0.3,0.3,0.6,1.2,0.0910250471399999,-0.3,-0.6,0.9762813089300002,0.3
12-27 01:00:00+01:00,-0.3,0.6,0.8027957801899992,-0.3,0.3,0.6,0.955468731,0.3,-0.3,-0.6,-1.2,-0.2249999999999999,0.3,0.6,1.2,-0.3,-0.3,0.6,0.3463468528400002,-0.3,0.3,0.6,-0.984468731,0.3,-0.3,-0.1115234769999997,-0.0374999999999999,0.3,0.0898046953999996,1.2,0.3000000000000003,-0.3,-0.6,0.95327539971,0.0499999999999998,-0.3,-0.6,-1.2,0.3,-0.3,-0.6,0.6134707043099998,0.3,-0.3,-0.6,-1.2,0.3
12-27 02:00:00+01:00,-0.3,0.1428587968899999,1.2,-0.3,0.3,0.6,0.9608193731,0.3,-0.3,-0.6,-1.2,-0.2249999999999999,0.3,0.6,1.2,-0.3,0.0629892686099998,-0.6,1.2,-0.3,0.3,0.6,-0.6565622302428573,-0.0428571428571427,-0.3,-0.08037630612,-0.0374999999999999,-0.2164247387800001,0.6,1.2,0.3000000000000003,-0.3,-0.6,0.9461115503999996,0.0499999999999998,-0.3,-0.6,-1.2,0.3,-0.3,-0.6,0.6125362891799997,0.3,-0.3,-0.6,-1.2,0.3
12-27 03:00:00+01:00,-0.3,0.6,0.6904867652399997,-0.3,0.0726832578,0.6,1.2,0.3,-0.3,-0.6,-1.2,-0.2249999999999999,0.3,0.6,1.2,-0.3,-0.3,0.6,0.39143046743,-0.3,0.3,0.6,-0.6648261149428573,-0.0428571428571427,-0.3,-0.0631598796200001,-0.0374999999999999,0.3,0.6,0.6801319759199995,0.3000000000000003,-0.3,-0.6,0.94215177231,0.0499999999999998,-0.3,-0.6,-1.2,0.3,-0.3,-0.6,0.61201979639,0.3,-0.3,-0.6,-1.2,0.3
12-27 04:00:00+01:00,0.3,-0.5579828425000004,1.2,-0.3,0.3,0.6,0.9948357765999998,0.3,-0.3,-0.6,-1.2,-0.2249999999999999,0.3,0.6,1.2,-0.3,0.1278750727099998,-0.6,1.2,-0.3,0.3,0.6,-1.0118357766,0.3,-0.3,-0.0545087987299997,-0.0374999999999999,-0.2215982402700004,0.6,1.2,0.3000000000000003,-0.3,-0.6,0.9401620236900003,0.0499999999999998,-0.3,-0.6,-1.2,0.3,-0.3,-0.6,0.6117602639599997,0.3,-0.3,-0.6,-1.2,0.3
12-27 05:00:00+01:00,-0.3,0.0112918143599994,1.2,-0.3,0.3,0.4169220149,1.2,0.3,-0.3,-0.6,-1.2,-0.2249999999999999,0.3,0.6,1.2,-0.3,-0.3,-0.1404909826100001,1.2,-0.3,0.3,0.6,-0.6686648720428572,-0.0428571428571427,-0.3,-0.05516246888,-0.0374999999999999,0.3,0.0785324937799997,1.2,0.3000000000000003,-0.3,-0.6,0.94031236785,0.0499999999999998,-0.3,-0.6,-1.2,0.3,-0.3,-0.6,0.61177987407,0.3,-0.3,-0.6,-1.2,0.3
12-27 06:00:00+01:00,-0.3,-0.0037872485900003,1.2,-0.3,0.1339322458,0.6,1.2,0.3,-0.3,-0.6,-1.2,-0.2249999999999999,0.3,0.6,1.2,-0.3,0.1820876201000001,-0.6,1.2,-0.3,0.3,0.6,-1.0089322458,0.3,-0.3,-0.0605578212399997,-0.0374999999999999,-0.2203884357600002,0.6,1.2,0.3000000000000003,-0.3,-0.6,0.9415532988800004,0.0499999999999998,-0.3,-0.6,-1.2,0.3,-0.3,-0.6,0.61194173464,0.3,-0.3,-0.6,-1.2,0.3
