LoadLevel,Node_1_Node_6_cac1,Node_1_Node_6_cac2,Node_1_Node_6_cac3,Node_1_Node_6_eac1,Node_2_Node_3_cac1,Node_2_Node_3_cac2,Node_2_Node_3_cac3,Node_2_Node_3_eac1,Node_2_Node_6_cac1,Node_2_Node_6_cac2,Node_2_Node_6_cac3,Node_2_Node_6_eac1,Node_3_Node_4_cac1,Node_3_Node_4_cac2,Node_3_Node_4_cac3,Node_3_Node_4_eac1,Node_3_Node_6_cac1,Node_3_Node_6_cac2,Node_3_Node_6_cac3,Node_3_Node_6_eac1,Node_4_Node_5_cac1,Node_4_Node_5_cac2,Node_4_Node_5_cac3,Node_4_Node_5_eac1,Node_4_Node_6_cac1,Node_4_Node_6_cac2,Node_4_Node_6_cac3,Node_4_Node_6_eac1,Node_4_Node_9_cac1,Node_4_Node_9_cac2,Node_4_Node_9_cac3,Node_4_Node_9_eac1,Node_6_Node_7_cac1,Node_6_Node_7_cac2,Node_6_Node_7_cac3,Node_6_Node_7_eac1,Node_6_Node_8_cac1,Node_6_Node_8_cac2,Node_6_Node_8_cac3,Node_6_Node_8_eac1,Node_7_Node_8_cac1,Node_7_Node_8_cac2,Node_7_Node_8_cac3,Node_7_Node_8_eac1,Node_8_Node_9_cac1,Node_8_Node_9_cac2,Node_8_Node_9_eac1
01-01 10:00:00+01:00,-0.3,0.6,0.0571750480000001,-0.3,-0.3,0.5735812603436362,1.2,0.3,-0.3,-0.6,-1.2,0.1810894970563637,0.3,0.6,1.2,-0.3,-0.3,-0.6,0.8721667218827267,-0.0292736686290908,0.3,0.6,-0.9846707574,0.3,0.3,0.6,1.2,0.1655447485281818,-0.3,-0.6,-0.2244268195281816,0.3,0.3,0.6,1.2,0.0500000000000001,-0.1350740673518183,-0.6,-1.2,0.3,0.3,0.5070794822700001,1.2,0.3,0.3,0.6,-0.2414526627418183
01-01 11:00:00+01:00,-0.3,-0.6,0.6062672425269999,0.3,0.3,0.3635382065999992,1.2,0.3,-0.3,-0.6,-1.2,-0.2249999999999994,-0.3,0.4481074430769999,1.2,-0.3,-0.3,0.6,1.0821204646229996,-0.3000000000000002,0.3,0.6,-0.5475667780285712,-0.1285714285714286,0.3,0.6,1.2,-0.0374999999999999,-0.3,-0.1874955459230001,-1.2,0.3,0.3,0.6,1.2,0.0749902989040001,-0.3,-0.6,-0.5485231895540001,0.3,0.3,0.6,1.2,0.2625145516440003,0.3,0.6,0.3
01-01 12:00:00+01:00,-0.3,-0.6,0.604657025641,0.3,-0.3,-0.6,0.0337189743799999,0.3,0.0237671793199999,-0.6,1.2,-0.2249999999999999,-0.3,-0.6,-1.2,-0.3,0.3,0.6,1.2,-0.3,0.3,0.6,-0.4165432965571427,-0.2571428571428573,-0.3,0.145555795139001,-1.2,-0.0375000000000002,-0.3,-0.6,-0.3566741103675724,-0.1285714285714286,0.3,0.6,1.2,-0.2279610256199999,-0.3,-0.6,0.3472030769600003,-0.3,0.3,0.6,1.2,-0.0330584615700001,0.3,0.6,0.3
01-01 13:00:00+01:00,0.3,-0.6,0.6584301763499993,-0.3,-0.3,0.5567803135909092,1.2,0.3,-0.3,-0.6,-1.2,0.1724307199090908,0.3,0.6,1.2,-0.3,-0.3,-0.6,0.8584283392381817,-0.0350461867272727,0.3,0.6,-0.9684110335,0.3,0.3,0.6,1.2,0.1612153599545455,-0.3,0.3528030292454547,-1.2,0.3,0.3,0.6,1.2,0.0500000000000001,-0.3,-0.6,-1.0433379134354546,0.3,0.3,0.5279045973,1.2,0.3,0.3,0.6,-0.2299076265454548
01-01 14:00:00+01:00,0.3,-0.6,0.7685745971699998,-0.3,-0.3,0.6,1.1815678186072722,0.3,-0.3,-0.6,-1.2,0.1508015112927276,0.3,0.6,1.2,-0.3,-0.3,-0.6,0.899695032735454,-0.0494656591381815,0.3,0.6,-0.9687693299,0.3,0.3,0.6,1.2,0.1504007556463637,-0.3,0.3642147942536364,-1.2,0.3,0.3,0.6,1.2,0.0499999999999998,-0.3,-0.6,-0.975870652313636,0.3,0.1892538874699997,0.6,1.2,0.3,0.3,0.6,-0.2010686817236365
01-01 15:00:00+01:00,0.3,-0.6,0.91188174106,-0.3,0.3,0.6,0.6231596668490902,0.3,-0.3,-0.6,-1.2,0.1272694430509094,0.3,0.6,1.2,-0.3,-0.3,-0.6,0.9632515564618174,-0.0651537046327271,0.3,0.6,-0.9824291099,0.3,0.3,0.6,1.2,0.1386347215254546,-0.3,-0.6,-0.2012528717254542,0.3,0.3,0.6,1.2,0.0500000000000003,-0.3,-0.283039872564546,-1.2,0.3,0.3,0.6,1.0269454624600003,0.3,0.3,0.6,-0.1696925907345457
01-01 16:00:00+01:00,0.3,-0.6,1.1724873211900004,-0.3,-0.2074611248581821,0.6,1.2,0.3,-0.3,-0.6,-1.2,0.0764427073581822,0.3,0.6,1.2,-0.3,-0.3,-0.6,1.0755406673163634,-0.0990381950945453,0.3,0.6,-0.6885815824999999,0.0,0.3,0.6,1.2,0.1132213536790908,-0.3,0.434414617120909,-1.2,0.3,0.3,0.6,1.2,0.0499999999999998,-0.3,-0.1186189514009087,-1.2,0.3,0.0299089926900001,0.6,1.2,0.3,0.3,0.6,-0.101923609810909
01-01 17:00:00+01:00,-0.3,0.1794728938400009,1.2,-0.3,-0.1696937769854545,0.6,1.2,0.3,-0.3,-0.6,-1.2,0.0374481415854545,0.3,0.6,1.2,-0.3,-0.3,-0.6,1.142433189390909,-0.1250345722763636,0.3,0.6,-0.9809543646,0.3,0.3,0.6,1.2,0.0937240707927272,-0.3,0.4411998702072724,-1.2,0.3,0.3,0.6,1.2,0.0499999999999998,-0.3,-0.6,-0.5949714884772725,0.3,-0.0412690147599997,0.6,1.2,0.3,0.3,0.6,-0.0499308554472726
01-01 18:00:00+01:00,-0.3,0.6,0.9258826563999992,-0.3,0.3,0.1265950383999998,1.2,0.3,-0.3,-0.6,-1.2,0.0,-0.3,-0.0712396634000005,1.2,0.3,-0.3,0.6,0.6303338748700005,-0.15,0.3,0.6,-0.3461950383999999,-0.3,0.3,0.6,1.2,-0.3,0.3,-0.6,-0.7942479327,0.0,0.3,0.6,1.2,0.1923008269200001,-0.3,0.2293140504800002,-1.2,0.3,0.3,0.6,1.2,0.0865487596199999,0.3,0.6,0.3
01-01 19:00:00+01:00,-0.3,0.4199644605699998,1.2,-0.3,0.3,0.6,0.6959902865999996,0.3,-0.3,-0.6,-1.2,0.0,-0.3,-0.0291464305000002,1.2,0.3,0.2526684315400001,-0.6,1.2,-0.15,0.3,0.6,-0.3259902865999999,-0.3,0.3,0.6,1.2,-0.3,0.3,-0.6,-0.7858292861,0.0,0.3,0.6,1.2,0.1956682855599999,-0.3,0.2356280354299998,-1.2,0.3,0.3,0.6,1.2,0.0814975716600001,0.3,0.6,0.3
