LoadLevel,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,PV_Cadiz,PV_Malaga,PV_Sevilla,Wind_Acoruna,Wind_Bilbo,Wind_Gijon,Node_1_Node_6_cac1,Node_1_Node_6_cac2,Node_1_Node_6_cac3,Node_2_Node_3_cac1,Node_2_Node_3_cac2,Node_2_Node_3_cac3,Node_2_Node_6_cac1,Node_2_Node_6_cac2,Node_2_Node_6_cac3,Node_3_Node_4_cac1,Node_3_Node_4_cac2,Node_3_Node_4_cac3,Node_3_Node_6_cac1,Node_3_Node_6_cac2,Node_3_Node_6_cac3,Node_4_Node_5_cac1,Node_4_Node_5_cac2,Node_4_Node_5_cac3,Node_4_Node_6_cac1,Node_4_Node_6_cac2,Node_4_Node_6_cac3,Node_4_Node_9_cac1,Node_4_Node_9_cac2,Node_4_Node_9_cac3,Node_6_Node_7_cac1,Node_6_Node_7_cac2,Node_6_Node_7_cac3,Node_6_Node_8_cac1,Node_6_Node_8_cac2,Node_6_Node_8_cac3,Node_7_Node_8_cac1,Node_7_Node_8_cac2,Node_7_Node_8_cac3,Node_8_Node_9_cac1,Node_8_Node_9_cac2,Node_8_Node_9_cac3
01-01 10:00:00+01:00,0.000897205177,0.2153292426,0.03588820709,0.1435528284,0.2153292426,0.07177641419,0.08972051773,0.01345807766,0.08972051773,0.2468,0.2556,0.24,0.0232,0.0052,0.07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-01 11:00:00+01:00,0.000932757473,0.2238617934,0.0373102989,0.1492411956,0.2238617934,0.0746205978,0.09327574726,0.01399136209,0.09327574726,0.2808,0.2848,0.2752,0.0072,0.004,0.0624,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-01 12:00:00+01:00,0.000942974359,0.2263138463,0.03771897438,0.1508758975,0.2263138463,0.07543794876,0.09429743595,0.01414461539,0.09429743595,0.2892,0.29,0.2832,0.0056,0.004,0.0588,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-01 13:00:00+01:00,0.000964954027,0.2315889665,0.03859816108,0.1543926443,0.2315889665,0.07719632216,0.0964954027,0.01447431041,0.0964954027,0.2744,0.2736,0.2683999999999999,0.006,0.0052,0.0608,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-01 14:00:00+01:00,0.000963461125,0.2312306701,0.03853844501,0.15415378,0.2312306701,0.07707689002,0.09634611253,0.01445191688,0.09634611253,0.2356,0.2332,0.2312,0.0084,0.0072,0.0636,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-01 15:00:00+01:00,0.000906545375,0.2175708901,0.03626181502,0.1450472601,0.2175708901,0.07252363003,0.09065453754,0.01359818063,0.09065453754,0.1676,0.1616,0.1636,0.0184,0.0112,0.068,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-01 16:00:00+01:00,0.000880910073,0.2114184175,0.03523640292,0.1409456117,0.2114184175,0.07047280585,0.08809100731,0.0132136511,0.08809100731,0.068,0.0556,0.0632,0.0472,0.0192,0.0804,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-01 17:00:00+01:00,0.000912690148,0.2190456354,0.0365076059,0.1460304236,0.2190456354,0.07301521181,0.09126901476,0.01369035221,0.09126901476,0.0,0.0,0.0,0.0932,0.0236,0.0868,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-01 18:00:00+01:00,0.001057520673,0.2538049616,0.04230082693,0.1692033077,0.2538049616,0.08460165387,0.1057520673,0.0158628101,0.1057520673,0.0,0.0,0.0,0.12,0.0248,0.0804,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-01 19:00:00+01:00,0.001141707139,0.2740097134,0.04566828556,0.1826731422,0.2740097134,0.09133657112,0.1141707139,0.0171256070899999,0.1141707139,0.0,0.0,0.0,0.1208,0.0232,0.07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-01 20:00:00+01:00,0.001183026701,0.2839264084,0.04732106806,0.1892842722,0.2839264084,0.09464213612,0.1183026701,0.01774540052,0.1183026701,0.0,0.0,0.0,0.13,0.0212,0.0628,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-01 21:00:00+01:00,0.001211398736,0.2907356966,0.04845594944,0.1938237978,0.2907356966,0.09691189888,0.1211398736,0.01817098104,0.1211398736,0.0,0.0,0.0,0.1336,0.022,0.0552,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
