Period,Scenario,LoadLevel,Unit,MW
2030,sc01,01-01 13:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-01 13:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-01 13:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-01 14:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-01 14:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-01 14:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-01 14:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-01 14:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-01 14:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-01 15:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-01 15:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-01 15:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-01 15:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-01 15:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-01 15:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-01 16:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-01 16:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-01 16:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-01 16:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-01 16:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-01 16:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-01 17:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-01 17:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-01 17:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-01 17:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-01 17:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-01 17:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-01 18:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-01 18:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-01 18:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-01 18:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-01 18:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-01 18:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-01 19:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-01 19:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-01 19:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-01 19:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-01 19:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-01 19:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-01 20:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-01 20:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-01 20:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-01 20:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-01 20:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-01 20:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-01 21:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-01 21:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-01 21:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-01 21:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-01 21:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-01 21:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-01 22:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-01 22:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-01 22:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-01 22:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-01 22:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-01 22:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-01 23:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-01 23:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-01 23:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-01 23:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-01 23:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-01 23:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-02 00:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-02 00:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-02 00:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-02 00:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-02 00:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-02 00:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-02 01:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-02 01:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-02 01:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-02 01:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-02 01:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-02 01:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-02 02:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-02 02:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-02 02:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-02 02:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-02 02:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-02 02:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-02 03:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-02 03:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-02 03:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-02 03:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-02 03:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-02 03:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-02 04:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-02 04:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-02 04:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-02 04:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-02 04:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-02 04:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-02 05:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-02 05:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-02 05:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-02 05:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-02 05:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-02 05:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-02 06:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-02 06:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-02 06:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-02 06:00:00+01:00,PV_Malaga,0.0
