,Network_Existing_Generation_Full,Network_Line_In_Node_1_Node_2_cac1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0.020415049,0.020737972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,0.020276388,0.020586597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,0.020125601,0.020435808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,0.01986556,0.020175766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0.01939295,0.019703154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1.91E-02,0.01944699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1.91E-02,1.94E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1.89E-02,1.92E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1.87E-02,1.91E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1.88E-02,0.019091063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0.019102618,0.019412824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,0.019792977,0.020103184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,0.020886613,0.021209683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,0.021779066,0.022103329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,0.021986056,0.022311132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,0.021042686,0.021352898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,0.019354055,0.019664264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,0.018200989,0.018511195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,0.01744751,0.017757716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,0.017083551,0.017393757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,0.017027743,0.017337948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,0.017530914,0.01784112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,0.019548917,0.019859128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,0.021974679,0.022284893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,0.02261038,0.022936013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,0.022240478,0.02256542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,0.021712511,0.022022722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,0.020943326,0.021253535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,0.019888454,0.02019866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,1.90E-02,0.019323433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1.85E-02,0.018830449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1.78E-02,0.018123834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,1.76E-02,0.017867473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,0.017551643,0.017861844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,0.018388898,0.018706408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,0.019957206,0.020274701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
