Period,Scenario,LoadLevel,Unit,tCO2
2030,sc01,01-31 22:00:00+01:00,OCGT_3,0.0
2030,sc01,01-31 22:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-31 22:00:00+01:00,CCGT_2,0.0
2030,sc01,01-31 22:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-31 22:00:00+01:00,CCGT_4,0.0
2030,sc01,01-31 22:00:00+01:00,OCGT_2,0.0
2030,sc01,01-31 22:00:00+01:00,CCGT_1,0.0
2030,sc01,01-31 22:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-31 22:00:00+01:00,Nuclear,0.0
2030,sc01,01-31 22:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-31 22:00:00+01:00,BrownLignite,0.0
2030,sc01,02-06 17:00:00+01:00,CCGT_3,30.08084131637994
2030,sc01,02-06 17:00:00+01:00,OCGT_1,0.0
2030,sc01,02-06 17:00:00+01:00,OCGT_3,0.0
2030,sc01,02-06 17:00:00+01:00,FuelOilGas,0.0
2030,sc01,02-06 17:00:00+01:00,CCGT_2,44.27913060051197
2030,sc01,02-06 17:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,02-06 17:00:00+01:00,CCGT_4,2.1815597322802316
2030,sc01,02-06 17:00:00+01:00,OCGT_2,0.0
2030,sc01,02-06 17:00:00+01:00,CCGT_1,0.0
2030,sc01,02-06 17:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,02-06 17:00:00+01:00,Nuclear,0.0
2030,sc01,02-06 17:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,02-06 17:00:00+01:00,BrownLignite,0.0
2030,sc01,02-11 16:00:00+01:00,CCGT_3,7.374612249180931
2030,sc01,02-11 16:00:00+01:00,OCGT_1,0.0
2030,sc01,02-11 16:00:00+01:00,OCGT_3,0.0
2030,sc01,02-11 16:00:00+01:00,FuelOilGas,0.0
2030,sc01,02-11 16:00:00+01:00,CCGT_2,0.0
2030,sc01,02-11 16:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,02-11 16:00:00+01:00,CCGT_4,0.0
2030,sc01,02-11 16:00:00+01:00,OCGT_2,0.0
2030,sc01,02-11 16:00:00+01:00,CCGT_1,0.0
2030,sc01,02-11 16:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,02-11 16:00:00+01:00,Nuclear,0.0
2030,sc01,02-11 16:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,02-11 16:00:00+01:00,BrownLignite,0.0
2030,sc01,02-12 16:00:00+01:00,CCGT_3,1.6356816982211329
2030,sc01,02-12 16:00:00+01:00,OCGT_1,0.0
2030,sc01,02-12 16:00:00+01:00,OCGT_3,0.0
2030,sc01,02-12 16:00:00+01:00,FuelOilGas,0.0
2030,sc01,02-12 16:00:00+01:00,CCGT_2,15.308261657214679
2030,sc01,02-12 16:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,02-12 16:00:00+01:00,CCGT_4,0.0
2030,sc01,02-12 16:00:00+01:00,OCGT_2,0.0
2030,sc01,02-12 16:00:00+01:00,CCGT_1,0.0
2030,sc01,02-12 16:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,02-12 16:00:00+01:00,Nuclear,0.0
2030,sc01,02-12 16:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,02-12 16:00:00+01:00,BrownLignite,0.0
2030,sc01,02-15 04:00:00+01:00,CCGT_3,0.0
2030,sc01,02-15 04:00:00+01:00,OCGT_1,0.0
2030,sc01,02-15 04:00:00+01:00,OCGT_3,0.0
2030,sc01,02-15 04:00:00+01:00,FuelOilGas,0.0
2030,sc01,02-15 04:00:00+01:00,CCGT_2,0.0
2030,sc01,02-15 04:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,02-15 04:00:00+01:00,CCGT_4,0.0
2030,sc01,02-15 04:00:00+01:00,OCGT_2,0.0
2030,sc01,02-15 04:00:00+01:00,CCGT_1,0.0
2030,sc01,02-15 04:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,02-15 04:00:00+01:00,Nuclear,0.0
2030,sc01,02-15 04:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,02-15 04:00:00+01:00,BrownLignite,0.0
2030,sc01,02-20 09:00:00+01:00,CCGT_3,16.6562398854296
2030,sc01,02-20 09:00:00+01:00,OCGT_1,0.0
2030,sc01,02-20 09:00:00+01:00,OCGT_3,0.0
2030,sc01,02-20 09:00:00+01:00,FuelOilGas,0.0
2030,sc01,02-20 09:00:00+01:00,CCGT_2,77.85096735498303
2030,sc01,02-20 09:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,02-20 09:00:00+01:00,CCGT_4,8.70795062074225
2030,sc01,02-20 09:00:00+01:00,OCGT_2,0.0
2030,sc01,02-20 09:00:00+01:00,CCGT_1,0.0
2030,sc01,02-20 09:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,02-20 09:00:00+01:00,Nuclear,0.0
2030,sc01,02-20 09:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,02-20 09:00:00+01:00,BrownLignite,0.0
2030,sc01,02-25 07:00:00+01:00,CCGT_3,2.727795190045708
