,Network_Existing_Generation_Full,Network_Line_In_N_101_N_102_cac1,Network_Line_In_N_101_N_103_cac1,Network_Line_In_N_101_N_105_cac1,Network_Line_In_N_102_N_104_cac1,Network_Line_In_N_102_N_106_cac1,Network_Line_In_N_103_N_109_cac1,Network_Line_In_N_103_N_124_cac1,Network_Line_In_N_104_N_109_cac1,Network_Line_In_N_105_N_110_cac1,Network_Line_In_N_106_N_108_cac1,Network_Line_In_N_106_N_110_cac1,Network_Line_In_N_108_N_109_cac1,Network_Line_In_N_108_N_110_cac1,Network_Line_In_N_109_N_111_cac1,Network_Line_In_N_110_N_111_cac1,Network_Line_In_N_111_N_113_cac1,Network_Line_In_N_111_N_114_cac1,Network_Line_In_N_112_N_123_cac1,Network_Line_In_N_113_N_123_cac1,Network_Line_In_N_114_N_116_cac1,Network_Line_In_N_115_N_116_cac1,Network_Line_In_N_115_N_121_cac1,Network_Line_In_N_115_N_121_cac2,Network_Line_In_N_115_N_124_cac1,Network_Line_In_N_116_N_117_cac1,Network_Line_In_N_116_N_119_cac1,Network_Line_In_N_117_N_118_cac1,Network_Line_In_N_117_N_122_cac1,Network_Line_In_N_118_N_121_cac1,Network_Line_In_N_118_N_121_cac2,Network_Line_In_N_119_N_120_cac1,Network_Line_In_N_119_N_120_cac2,Network_Line_In_N_120_N_123_cac2,Network_Line_In_N_121_N_122_cac1
10,0.026647275,0.026935002,0.026489437,0.02679575,0.0267783,0.026567953,0.026418006,0.025872845,0.026614238,0.026176468,0.025351545,0.025376348,0.026182817,0.025510848,0.025519244,0.025889607,0.023800971,0.02661989,0.026323775,0.02618167,0.026244273,0.026251934,0.025722096,0.024772875,0.025932942,0.026356118,0.026985321,0.026859764,0.026190199,0.026118156,0.025409367,0.026499663,0.0260291,0.02733801,0.02602202
11,0.025982656,0.026696958,0.025910381,0.02614114,0.02608359,0.026124535,0.025940077,0.025909062,0.025888242,0.02558576,0.024992045,0.025166247,0.025095122,0.02514533,0.025655018,0.025683962,0.024539426,0.026028061,0.025443215,0.025493,0.026278276,0.025664603,0.0254523,0.025256762,0.02543021,0.02569784,0.026705045,0.02636351,0.025782073,0.026530456,0.02648957,0.026458548,0.023795245,0.026565524,0.024045704
12,0.025185946,0.026097378,0.02541092,0.025317853,0.025335522,0.025353393,0.0251389,0.024939593,0.02495663,0.024968615,0.024132274,0.024524262,0.024111357,0.024436928,0.024794819,0.024752045,0.02387311,0.025158472,0.024591349,0.024977386,0.025446316,0.02497162,0.024745706,0.024625113,0.024778847,0.024956375,0.02579297,0.025795689,0.025152208,0.026098095,0.026215844,0.025671106,0.022927428,0.025778087,0.023428172
13,0.025638128,0.026995933,0.025418518,0.025766796,0.02559236,0.026113225,0.025884753,0.025986522,0.025468796,0.025675809,0.0248483,0.025712,0.02468011,0.024928117,0.025147105,0.025479464,0.023655755,0.025689831,0.024648711,0.025898628,0.025348539,0.025384558,0.025365395,0.02551726,0.025368238,0.025163634,0.026574837,0.026139999,0.02634407,0.025586499,0.028109984,0.025510028,0.023765989,0.02576656,0.023796832
14,0.02885515,0.030645715,0.028346086,0.029103024,0.029197665,0.029776102,0.029039158,0.02948944,0.028413603,0.029473374,0.028005378,0.029798912,0.026897369,0.02820172,0.028445328,0.02922825,0.0260372,0.028976949,0.02781395,0.028992238,0.02895079,0.028464282,0.028776081,0.028571358,0.028628705,0.028559275,0.030340241,0.029388396,0.029577998,0.028365077,0.029417602,0.02804112,0.028213333,0.028065233,0.023813117
15,0.037279256,0.038618043,0.036495477,0.03743153,0.03772872,0.038001053,0.037518963,0.03767506,0.036982447,0.037970632,0.03649252,0.038144365,0.034793265,0.036986254,0.03712354,0.03732934,0.035000466,0.037398048,0.036043957,0.037298284,0.037647925,0.03702037,0.036671266,0.03622517,0.03692224,0.036478408,0.038740076,0.037758693,0.037604965,0.037208922,0.038154095,0.036232002,0.03388734,0.036540247,0.02471055
16,0.053226188,0.054493472,0.052560046,0.05301884,0.05368299,0.053724073,0.0537197,0.0534584,0.05287884,0.053623565,0.05169624,0.053615607,0.049988963,0.05286938,0.05362411,0.05292114,0.05161941,0.05377102,0.052747443,0.05350779,0.053964444,0.053419665,0.05279185,0.052686512,0.053531684,0.052460432,0.05575294,0.053679816,0.053834103,0.05321645,0.053209946,0.052031487,0.05142148,0.05266916,0.040914334
17,0.03235464,0.03260705,0.03221357,0.032580435,0.0325794,0.032340676,0.03263811,0.032185756,0.032365642,0.03218153,0.032097332,0.030985855,0.031047177,0.031407148,0.031942904,0.031474262,0.030205106,0.03272132,0.032094643,0.03203858,0.031931873,0.032445375,0.031002183,0.029625366,0.031825498,0.031855986,0.032863375,0.032837123,0.032728836,0.0318759,0.031179003,0.032038726,0.03162397,0.03269229,0.031589855
18,0.03175629,0.03200478,0.031611122,0.03201006,0.0319708,0.031658124,0.032006964,0.031623684,0.031739034,0.031602032,0.031416625,0.030359803,0.03047264,0.03082278,0.03132651,0.030814098,0.029562062,0.032061018,0.031354412,0.031374283,0.031312168,0.031815447,0.030390449,0.029024199,0.031229524,0.03128081,0.032214813,0.032220516,0.032124326,0.031256147,0.030491889,0.03139083,0.031085925,0.031987227,0.030964168
19,0.031025562,0.031038167,0.030616561,0.031131005,0.031256065,0.030921416,0.03125259,0.030889751,0.030990267,0.030718207,0.030329403,0.029564943,0.029756749,0.029908484,0.030462166,0.029817512,0.028795484,0.031275943,0.030506255,0.030546177,0.030622505,0.030941278,0.029594885,0.02812928,0.030360095,0.030288918,0.031398844,0.03133619,0.031143624,0.03046715,0.029764768,0.030791875,0.029715195,0.030740667,0.030092908
