Period,Scenario,LoadLevel,mEUR
2030,sc01,02-01 12:00:00+01:00,108436.82250524595
2030,sc01,02-04 19:00:00+01:00,8354.008716796303
2030,sc01,02-05 19:00:00+01:00,2023.783568271143
2030,sc01,02-06 07:00:00+01:00,65992.97451281402
2030,sc01,02-06 23:00:00+01:00,725953.7889658918
2030,sc01,02-07 14:00:00+01:00,53669.11193245996
2030,sc01,02-07 17:00:00+01:00,2154.0274840215607
2030,sc01,02-07 19:00:00+01:00,2089.6589851420413
2030,sc01,02-08 07:00:00+01:00,69426.12831397189
2030,sc01,02-08 09:00:00+01:00,8344.510662400695
2030,sc01,02-08 13:00:00+01:00,7322.013341172617
2030,sc01,02-08 19:00:00+01:00,6792.735111239559
2030,sc01,02-08 20:00:00+01:00,11207.463595897016
2030,sc01,02-09 00:00:00+01:00,39839.4857966635
2030,sc01,02-11 08:00:00+01:00,8394.996401607385
2030,sc01,02-11 15:00:00+01:00,3541731.6053070067
2030,sc01,02-12 16:00:00+01:00,273894.57862639363
2030,sc01,02-12 18:00:00+01:00,1014416.4445866664
2030,sc01,02-13 17:00:00+01:00,590832.3705626479
2030,sc01,02-14 07:00:00+01:00,63760.838103176626
2030,sc01,02-14 09:00:00+01:00,16796.887129253373
2030,sc01,02-14 10:00:00+01:00,28737.484255326963
2030,sc01,02-14 16:00:00+01:00,61728.03317348994
2030,sc01,02-15 20:00:00+01:00,1277691.7399603527
2030,sc01,02-18 08:00:00+01:00,27572.593389141843
2030,sc01,02-18 19:00:00+01:00,1691.3373539564768
2030,sc01,02-19 10:00:00+01:00,31625.127443842135
2030,sc01,02-19 12:00:00+01:00,48321.34383897589
2030,sc01,02-19 17:00:00+01:00,28233.170950895637
2030,sc01,02-19 19:00:00+01:00,1981.6846639957587
2030,sc01,02-20 07:00:00+01:00,1660.574602245798
2030,sc01,02-20 09:00:00+01:00,7140.125958941292
2030,sc01,02-20 11:00:00+01:00,44994.17868520224
2030,sc01,02-20 13:00:00+01:00,104841.66892307917
2030,sc01,02-20 15:00:00+01:00,90383.26094990438
2030,sc01,02-21 18:00:00+01:00,1919.1423741012004
2030,sc01,02-23 18:00:00+01:00,115607.2118614224
2030,sc01,02-25 06:00:00+01:00,1189597.0667957894
2030,sc01,02-25 13:00:00+01:00,4873.700753053842
2030,sc01,03-03 00:00:00+01:00,35901.481037746686
2030,sc01,03-04 12:00:00+01:00,4328855.206832544
2030,sc01,03-05 21:00:00+01:00,1590892.2129206045
2030,sc01,03-06 16:00:00+01:00,79708.33889169783
2030,sc01,03-08 18:00:00+01:00,51297.35833710535
2030,sc01,03-08 19:00:00+01:00,4222290.187658877
2030,sc01,03-12 09:00:00+01:00,3118687.751201499
2030,sc01,03-19 09:00:00+01:00,156618.75117396552
2030,sc01,03-20 18:00:00+01:00,5215545.825744446
2030,sc01,03-20 19:00:00+01:00,8582951.450092448
2030,sc01,03-28 00:00:00+01:00,75558.21869565715
2030,sc01,03-28 19:00:00+01:00,8512872.273122633
2030,sc01,04-02 07:00:00+02:00,24247.42478922432
2030,sc01,04-02 08:00:00+02:00,51487.73449403759
2030,sc01,04-05 14:00:00+02:00,3852011.5595310503
2030,sc01,04-09 18:00:00+02:00,4196.442648239216
2030,sc01,04-11 11:00:00+02:00,74673.33199644083
2030,sc01,04-12 06:00:00+02:00,9644.077824712185
2030,sc01,04-16 11:00:00+02:00,1398.0272595493384
2030,sc01,04-16 18:00:00+02:00,1770827.1891636755
2030,sc01,04-18 05:00:00+02:00,71377.01738961301
2030,sc01,04-23 00:00:00+02:00,43318.68633126695
2030,sc01,04-24 06:00:00+02:00,2078000.969125928
2030,sc01,04-26 09:00:00+02:00,3294115.3772286484
2030,sc01,04-26 15:00:00+02:00,1885428.190599851
