Period,Scenario,LoadLevel,MEUR
2030,sc01,07-14 21:00:00+02:00,2.7616771799683857
2030,sc01,07-14 22:00:00+02:00,2.555698810638322
2030,sc01,07-14 23:00:00+02:00,2.422534848517223
2030,sc01,10-11 00:00:00+02:00,0.2749779462612241
2030,sc01,10-11 01:00:00+02:00,0.27535116120189207
2030,sc01,10-11 02:00:00+02:00,0.2748045939657845
2030,sc01,10-11 03:00:00+02:00,0.2753348943258218
2030,sc01,10-11 04:00:00+02:00,0.2819218963244748
2030,sc01,10-11 05:00:00+02:00,0.28780556629755544
2030,sc01,10-11 06:00:00+02:00,0.3024703583229252
2030,sc01,10-11 07:00:00+02:00,0.3163644232296291
2030,sc01,10-11 08:00:00+02:00,0.32036770880745596
2030,sc01,10-11 09:00:00+02:00,0.3216156502833315
2030,sc01,10-11 10:00:00+02:00,0.3203423523790757
2030,sc01,10-11 11:00:00+02:00,0.3173388220273388
2030,sc01,10-11 12:00:00+02:00,0.3101694863457756
2030,sc01,10-11 13:00:00+02:00,0.3104748674487203
2030,sc01,10-11 14:00:00+02:00,0.3133300989311746
2030,sc01,10-11 15:00:00+02:00,0.3155380920626468
2030,sc01,10-11 16:00:00+02:00,0.324616994147337
2030,sc01,10-11 17:00:00+02:00,0.33938260636679257
2030,sc01,10-11 18:00:00+02:00,0.34970103644846107
2030,sc01,10-11 19:00:00+02:00,0.3504606914802738
2030,sc01,10-11 20:00:00+02:00,0.3400793702119908
2030,sc01,10-11 21:00:00+02:00,0.3207472805975969
2030,sc01,10-11 22:00:00+02:00,0.2999476549914869
2030,sc01,10-11 23:00:00+02:00,0.28313186640270527
2030,sc01,10-29 00:00:00+01:00,0.8373093690654756
2030,sc01,10-29 01:00:00+01:00,0.8140730286349961
2030,sc01,10-29 02:00:00+01:00,0.8063136413910492
2030,sc01,10-29 03:00:00+01:00,0.814625592105023
2030,sc01,10-29 04:00:00+01:00,0.8447612483446055
2030,sc01,10-29 05:00:00+01:00,0.8972691430204065
2030,sc01,10-29 06:00:00+01:00,0.9596939988011535
2030,sc01,10-29 07:00:00+01:00,1.0407821191232023
2030,sc01,10-29 08:00:00+01:00,1.0492097192087684
2030,sc01,10-29 09:00:00+01:00,1.0108784720093722
2030,sc01,10-29 10:00:00+01:00,0.9829947819087256
2030,sc01,10-29 11:00:00+01:00,0.9756039689374377
2030,sc01,10-29 12:00:00+01:00,0.9699644875339395
2030,sc01,10-29 13:00:00+01:00,0.9784110499757847
2030,sc01,10-29 14:00:00+01:00,0.9913876139630912
2030,sc01,10-29 15:00:00+01:00,1.019315629760176
2030,sc01,10-29 16:00:00+01:00,1.0806538343061165
2030,sc01,10-29 17:00:00+01:00,1.204711153683961
2030,sc01,10-29 18:00:00+01:00,1.2520988368923573
2030,sc01,10-29 19:00:00+01:00,1.2291187222078264
2030,sc01,10-29 20:00:00+01:00,1.1888507634492578
2030,sc01,10-29 21:00:00+01:00,1.1287806724059397
2030,sc01,10-29 22:00:00+01:00,1.0503671976930888
2030,sc01,10-29 23:00:00+01:00,0.9886273097282708
2030,sc01,11-16 00:00:00+01:00,0.2928170008246541
2030,sc01,11-16 01:00:00+01:00,0.2863282011622527
2030,sc01,11-16 02:00:00+01:00,0.2795952253732462
2030,sc01,11-16 03:00:00+01:00,0.2778195767697726
2030,sc01,11-16 04:00:00+01:00,0.2793221865391522
2030,sc01,11-16 05:00:00+01:00,0.28210422530395884
2030,sc01,11-16 06:00:00+01:00,0.29590149167435986
2030,sc01,11-16 07:00:00+01:00,0.3150177547820975
2030,sc01,11-16 08:00:00+01:00,0.3190242943908295
2030,sc01,11-16 09:00:00+01:00,0.2997776342072382
2030,sc01,11-16 10:00:00+01:00,0.2836666834280183
2030,sc01,11-16 11:00:00+01:00,0.27745158856765567
2030,sc01,11-16 12:00:00+01:00,0.2734911374502971
2030,sc01,11-16 13:00:00+01:00,0.2741135935581578
2030,sc01,11-16 14:00:00+01:00,0.2750408440964086
2030,sc01,11-16 15:00:00+01:00,0.2835618595135613
2030,sc01,11-16 16:00:00+01:00,0.31833584777195634
2030,sc01,11-16 17:00:00+01:00,0.3563505737539404
2030,sc01,11-16 18:00:00+01:00,0.3609037420216902
