Period,Scenario,LoadLevel,Node,GWh
2030,sc01,07-10 14:00:00+02:00,Node_6,0.0
2030,sc01,07-10 14:00:00+02:00,Node_2,0.0
2030,sc01,07-10 14:00:00+02:00,Node_5,0.0
2030,sc01,08-10 19:00:00+02:00,Node_4,0.0
2030,sc01,08-10 19:00:00+02:00,Node_3,0.0
2030,sc01,08-10 19:00:00+02:00,Node_1,0.0
2030,sc01,08-10 19:00:00+02:00,Node_8,0.0
2030,sc01,08-10 19:00:00+02:00,Node_9,0.0
2030,sc01,08-10 19:00:00+02:00,Node_7,0.0
2030,sc01,08-10 19:00:00+02:00,Node_6,0.0
2030,sc01,08-10 19:00:00+02:00,Node_2,0.0
2030,sc01,08-10 19:00:00+02:00,Node_5,0.0
2030,sc01,09-12 06:00:00+02:00,Node_4,0.0
2030,sc01,09-12 06:00:00+02:00,Node_3,0.0
2030,sc01,09-12 06:00:00+02:00,Node_1,0.0
2030,sc01,09-12 06:00:00+02:00,Node_8,0.0
2030,sc01,09-12 06:00:00+02:00,Node_9,0.0
2030,sc01,09-12 06:00:00+02:00,Node_7,0.0
2030,sc01,09-12 06:00:00+02:00,Node_6,0.0
2030,sc01,09-12 06:00:00+02:00,Node_2,0.0
2030,sc01,09-12 06:00:00+02:00,Node_5,0.0
2030,sc01,10-13 14:00:00+02:00,Node_4,0.0
2030,sc01,10-13 14:00:00+02:00,Node_3,0.0
2030,sc01,10-13 14:00:00+02:00,Node_1,0.0
2030,sc01,10-13 14:00:00+02:00,Node_8,0.0
2030,sc01,10-13 14:00:00+02:00,Node_9,0.0
2030,sc01,10-13 14:00:00+02:00,Node_7,0.0
2030,sc01,10-13 14:00:00+02:00,Node_6,0.0
2030,sc01,10-13 14:00:00+02:00,Node_2,0.0
2030,sc01,10-13 14:00:00+02:00,Node_5,0.0
2030,sc01,10-23 01:00:00+02:00,Node_4,0.0
2030,sc01,10-23 01:00:00+02:00,Node_3,0.0
2030,sc01,10-23 01:00:00+02:00,Node_1,0.0
2030,sc01,10-23 01:00:00+02:00,Node_8,0.0
2030,sc01,10-23 01:00:00+02:00,Node_9,0.0
2030,sc01,10-23 01:00:00+02:00,Node_7,0.0
2030,sc01,10-23 01:00:00+02:00,Node_6,0.0
2030,sc01,10-23 01:00:00+02:00,Node_2,0.0
2030,sc01,10-23 01:00:00+02:00,Node_5,0.0
2030,sc01,10-30 17:00:00+01:00,Node_4,0.0
2030,sc01,10-30 17:00:00+01:00,Node_3,0.0
2030,sc01,10-30 17:00:00+01:00,Node_1,0.0
