,2030,2030,2030,2030,2030,2030,2030,2030,2030
,Node_2,Node_1,Node_2,Node_1,Node_1,Node_1,Node_1,Node_1,Node_2
,Node_3,Node_3,Node_3,Node_2,Node_2,Node_2,Node_3,Node_3,Node_3
,cac1,cac2,cac2,cac3,cac1,cac2,cac3,cac1,cac3
LoadLevel,,,,,,,,,
01-01 00:00:00+01:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
01-01 01:00:00+01:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
01-01 02:00:00+01:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
01-01 03:00:00+01:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
01-01 04:00:00+01:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
