Period,Scenario,LoadLevel,Unit,tCO2
2030,sc01,01-10 11:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-10 11:00:00+01:00,CCGT_2,61.15288987191364
2030,sc01,01-10 11:00:00+01:00,CCGT_3,22.111373857273275
2030,sc01,01-10 11:00:00+01:00,Nuclear,0.0
2030,sc01,01-10 11:00:00+01:00,CCGT_4,0.0
2030,sc01,01-10 11:00:00+01:00,OCGT_1,0.0
2030,sc01,01-10 11:00:00+01:00,BrownLignite,0.0
2030,sc01,01-10 11:00:00+01:00,OCGT_2,0.0
2030,sc01,01-10 11:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-10 11:00:00+01:00,CCGT_1,0.0
2030,sc01,01-10 12:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-10 12:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-10 12:00:00+01:00,OCGT_3,0.0
2030,sc01,01-10 12:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-10 12:00:00+01:00,CCGT_2,51.43861714311393
2030,sc01,01-10 12:00:00+01:00,CCGT_3,11.084631635537926
2030,sc01,01-10 12:00:00+01:00,Nuclear,0.0
2030,sc01,01-10 12:00:00+01:00,CCGT_4,0.0
2030,sc01,01-10 12:00:00+01:00,OCGT_1,0.0
2030,sc01,01-10 12:00:00+01:00,BrownLignite,0.0
2030,sc01,01-10 12:00:00+01:00,OCGT_2,0.0
2030,sc01,01-10 12:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-10 12:00:00+01:00,CCGT_1,0.0
2030,sc01,01-10 17:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-10 17:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-10 17:00:00+01:00,OCGT_3,0.0
2030,sc01,01-10 17:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-10 17:00:00+01:00,CCGT_2,97.32713292542103
2030,sc01,01-10 17:00:00+01:00,CCGT_3,8.66887561607536
2030,sc01,01-10 17:00:00+01:00,Nuclear,0.0
2030,sc01,01-10 17:00:00+01:00,CCGT_4,0.0
2030,sc01,01-10 17:00:00+01:00,OCGT_1,0.0
2030,sc01,01-10 17:00:00+01:00,BrownLignite,0.0
2030,sc01,01-10 17:00:00+01:00,OCGT_2,0.0
2030,sc01,01-10 17:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-10 17:00:00+01:00,CCGT_1,0.0
2030,sc01,01-10 18:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-10 18:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-10 18:00:00+01:00,OCGT_3,0.0
2030,sc01,01-10 18:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-10 18:00:00+01:00,CCGT_2,99.29647036481933
2030,sc01,01-10 18:00:00+01:00,CCGT_3,20.501687408726422
2030,sc01,01-10 18:00:00+01:00,Nuclear,0.0
2030,sc01,01-10 18:00:00+01:00,CCGT_4,0.0
2030,sc01,01-10 18:00:00+01:00,OCGT_1,0.0
2030,sc01,01-10 18:00:00+01:00,BrownLignite,0.0
2030,sc01,01-10 18:00:00+01:00,OCGT_2,0.0
2030,sc01,01-10 18:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-10 18:00:00+01:00,CCGT_1,0.0
2030,sc01,01-11 21:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-11 21:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-11 21:00:00+01:00,OCGT_3,0.0
2030,sc01,01-11 21:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-11 21:00:00+01:00,CCGT_2,0.0
2030,sc01,01-11 21:00:00+01:00,CCGT_3,0.0
2030,sc01,01-11 21:00:00+01:00,Nuclear,0.0
2030,sc01,01-11 21:00:00+01:00,CCGT_4,0.0
2030,sc01,01-11 21:00:00+01:00,OCGT_1,0.0
2030,sc01,01-11 21:00:00+01:00,BrownLignite,0.0
2030,sc01,01-11 21:00:00+01:00,OCGT_2,0.0
2030,sc01,01-11 21:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-11 21:00:00+01:00,CCGT_1,0.0
2030,sc01,01-13 10:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-13 10:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-13 10:00:00+01:00,OCGT_3,0.0
2030,sc01,01-13 10:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-13 10:00:00+01:00,CCGT_2,33.21065321504121
2030,sc01,01-13 10:00:00+01:00,CCGT_3,0.0
2030,sc01,01-13 10:00:00+01:00,Nuclear,0.0
2030,sc01,01-13 10:00:00+01:00,CCGT_4,0.0
2030,sc01,01-13 10:00:00+01:00,OCGT_1,0.0
2030,sc01,01-13 10:00:00+01:00,BrownLignite,0.0
2030,sc01,01-13 10:00:00+01:00,OCGT_2,0.0
2030,sc01,01-13 10:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-13 10:00:00+01:00,CCGT_1,0.0
2030,sc01,01-13 18:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-13 18:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-13 18:00:00+01:00,OCGT_3,0.0
2030,sc01,01-13 18:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-13 18:00:00+01:00,CCGT_2,100.6582025
2030,sc01,01-13 18:00:00+01:00,CCGT_3,0.0
2030,sc01,01-13 18:00:00+01:00,Nuclear,0.0
2030,sc01,01-13 18:00:00+01:00,CCGT_4,0.0
2030,sc01,01-13 18:00:00+01:00,OCGT_1,0.0
2030,sc01,01-13 18:00:00+01:00,BrownLignite,0.0
2030,sc01,01-13 18:00:00+01:00,OCGT_2,0.0
2030,sc01,01-13 18:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-13 18:00:00+01:00,CCGT_1,0.5099225466036021
2030,sc01,01-14 09:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-14 09:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-14 09:00:00+01:00,OCGT_3,0.0
2030,sc01,01-14 09:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-14 09:00:00+01:00,CCGT_2,100.6582025
2030,sc01,01-14 09:00:00+01:00,CCGT_3,47.945146008067056
