Period,Scenario,LoadLevel,Node,SRMC
2030,sc01,03-20 19:00:00+01:00,Node_3,15.000000000000004
2030,sc01,03-20 19:00:00+01:00,Node_9,15.000000000000004
2030,sc01,03-20 19:00:00+01:00,Node_2,15.000000000000004
2030,sc01,03-20 19:00:00+01:00,Node_4,15.000000000000004
2030,sc01,03-20 19:00:00+01:00,Node_8,15.000000000000004
2030,sc01,03-20 19:00:00+01:00,Node_1,15.0
2030,sc01,03-20 19:00:00+01:00,Node_5,15.000000000000004
2030,sc01,03-21 17:00:00+01:00,Node_6,15.0
2030,sc01,03-21 17:00:00+01:00,Node_7,15.0
2030,sc01,03-21 17:00:00+01:00,Node_3,15.0
2030,sc01,03-21 17:00:00+01:00,Node_9,15.0
2030,sc01,03-21 17:00:00+01:00,Node_2,15.0
2030,sc01,03-21 17:00:00+01:00,Node_4,15.0
2030,sc01,03-21 17:00:00+01:00,Node_8,15.0
2030,sc01,03-21 17:00:00+01:00,Node_1,15.0
2030,sc01,03-21 17:00:00+01:00,Node_5,15.0
2030,sc01,03-24 21:00:00+01:00,Node_6,58.032910124999994
2030,sc01,03-24 21:00:00+01:00,Node_7,58.032910124999994
2030,sc01,03-24 21:00:00+01:00,Node_3,58.032910124999994
2030,sc01,03-24 21:00:00+01:00,Node_9,58.032910124999965
2030,sc01,03-24 21:00:00+01:00,Node_2,58.032910124999994
2030,sc01,03-24 21:00:00+01:00,Node_4,58.03291012499998
2030,sc01,03-24 21:00:00+01:00,Node_8,58.03291012499994
2030,sc01,03-24 21:00:00+01:00,Node_1,50.51605619241572
2030,sc01,03-24 21:00:00+01:00,Node_5,58.03291012499998
2030,sc01,03-26 14:00:00+01:00,Node_6,1.5
2030,sc01,03-26 14:00:00+01:00,Node_7,1.5
2030,sc01,03-26 14:00:00+01:00,Node_3,1.5
2030,sc01,03-26 14:00:00+01:00,Node_9,1.5
2030,sc01,03-26 14:00:00+01:00,Node_2,1.5
2030,sc01,03-26 14:00:00+01:00,Node_4,1.5
2030,sc01,03-26 14:00:00+01:00,Node_8,1.5
2030,sc01,03-26 14:00:00+01:00,Node_1,1.5
2030,sc01,03-26 14:00:00+01:00,Node_5,1.5
2030,sc01,03-26 16:00:00+01:00,Node_6,15.000000000000004
2030,sc01,03-26 16:00:00+01:00,Node_7,15.000000000000004
2030,sc01,03-26 16:00:00+01:00,Node_3,15.000000000000004
