Period,Scenario,LoadLevel,Technology,GWh
2030,sc01,01-01 17:00:00+01:00,Oil,0.0
2030,sc01,01-01 17:00:00+01:00,Gas,3.435927919940031
2030,sc01,01-01 17:00:00+01:00,Nuclear,0.0
2030,sc01,01-01 17:00:00+01:00,Coal,0.0
2030,sc01,01-01 18:00:00+01:00,Solar,0.0
2030,sc01,01-01 18:00:00+01:00,Wind,1.1260000000000001
2030,sc01,01-01 18:00:00+01:00,Oil,0.0
2030,sc01,01-01 18:00:00+01:00,Gas,4.034700885365036
2030,sc01,01-01 18:00:00+01:00,Nuclear,0.0
2030,sc01,01-01 18:00:00+01:00,Coal,0.0
2030,sc01,01-01 19:00:00+01:00,Solar,0.0
2030,sc01,01-01 19:00:00+01:00,Wind,1.07
2030,sc01,01-01 19:00:00+01:00,Oil,0.0
2030,sc01,01-01 19:00:00+01:00,Gas,4.501530838545021
2030,sc01,01-01 19:00:00+01:00,Nuclear,0.0
2030,sc01,01-01 19:00:00+01:00,Coal,0.0
2030,sc01,01-01 20:00:00+01:00,Solar,0.0
2030,sc01,01-01 20:00:00+01:00,Wind,1.0699999999999998
2030,sc01,01-01 20:00:00+01:00,Oil,0.0
2030,sc01,01-01 20:00:00+01:00,Gas,4.703170303005008
2030,sc01,01-01 20:00:00+01:00,Nuclear,0.0
2030,sc01,01-01 20:00:00+01:00,Coal,0.0
2030,sc01,01-01 21:00:00+01:00,Solar,0.0
2030,sc01,01-01 21:00:00+01:00,Wind,1.0539999999999998
2030,sc01,01-01 21:00:00+01:00,Oil,0.0
2030,sc01,01-01 21:00:00+01:00,Gas,4.857625831480124
2030,sc01,01-01 21:00:00+01:00,Nuclear,0.0
2030,sc01,01-01 21:00:00+01:00,Coal,0.0
2030,sc01,01-01 22:00:00+01:00,Solar,0.0
2030,sc01,01-01 22:00:00+01:00,Wind,0.984
2030,sc01,01-01 22:00:00+01:00,Oil,0.0
2030,sc01,01-01 22:00:00+01:00,Gas,4.844174602070011
2030,sc01,01-01 22:00:00+01:00,Nuclear,0.0
2030,sc01,01-01 22:00:00+01:00,Coal,0.0
2030,sc01,01-01 23:00:00+01:00,Solar,0.0
2030,sc01,01-01 23:00:00+01:00,Wind,0.972
2030,sc01,01-01 23:00:00+01:00,Oil,0.0
2030,sc01,01-01 23:00:00+01:00,Gas,4.417069184430005
2030,sc01,01-01 23:00:00+01:00,Nuclear,0.0
2030,sc01,01-01 23:00:00+01:00,Coal,0.0
2030,sc01,01-04 00:00:00+01:00,Solar,0.0
2030,sc01,01-04 00:00:00+01:00,Wind,0.44520000000000004
2030,sc01,01-04 00:00:00+01:00,Oil,0.0
2030,sc01,01-04 00:00:00+01:00,Gas,0.6333032698020014
2030,sc01,01-04 00:00:00+01:00,Nuclear,0.0
2030,sc01,01-04 00:00:00+01:00,Coal,0.0
2030,sc01,01-04 01:00:00+01:00,Solar,0.0
2030,sc01,01-04 01:00:00+01:00,Wind,0.45080000000000003
2030,sc01,01-04 01:00:00+01:00,Oil,0.0
2030,sc01,01-04 01:00:00+01:00,Gas,0.5255232445830188
2030,sc01,01-04 01:00:00+01:00,Nuclear,0.0
2030,sc01,01-04 01:00:00+01:00,Coal,0.0
2030,sc01,01-04 02:00:00+01:00,Solar,0.0
2030,sc01,01-04 02:00:00+01:00,Wind,0.4524
2030,sc01,01-04 02:00:00+01:00,Oil,0.0
2030,sc01,01-04 02:00:00+01:00,Gas,0.44759509753499804
