LoadLevel,CCGT_1,CCGT_2,CCGT_3,SolarPV_1,WindFarm_1
01-05 16:00:00+01:00,0.0,3.7386760354252146e-14,0.0,0.0,0.0
01-05 17:00:00+01:00,8.822777000341842e-05,-8.82277699746914e-05,0.0,0.0,0.0
01-05 18:00:00+01:00,0.0004806939500034,-0.0004806939500164864,0.0,0.0,0.0
01-05 19:00:00+01:00,0.0,-4.29101199017623e-14,0.0,0.0,0.0
01-05 20:00:00+01:00,0.0,3.219646771412954e-14,0.0,0.0,0.0
01-05 21:00:00+01:00,0.0,2.861599845971341e-14,0.0,0.0,0.0
01-05 22:00:00+01:00,0.0,1.759703494030873e-14,0.0,0.0,0.0
01-05 23:00:00+01:00,0.0,4.821143484434742e-14,0.0,0.0,0.0
01-06 00:00:00+01:00,0.0,-4.093947403305265e-15,0.0,0.0,0.0
01-06 01:00:00+01:00,0.0,1.9595436384634013e-14,0.0,0.0,0.0
01-06 02:00:00+01:00,0.0,-3.9968028886505635e-15,0.0,0.0,0.0
01-06 03:00:00+01:00,0.0,9.020562075079397e-16,0.0,0.0,0.0
01-06 04:00:00+01:00,0.0,-2.7700064464397656e-14,0.0,0.0,0.0
01-06 05:00:00+01:00,0.0,-0.000983316936628592,0.0009833169366621,0.0,0.0
01-06 06:00:00+01:00,0.0,-0.003432694383306789,0.0034326943833287,0.0,0.0
01-06 07:00:00+01:00,0.0,-9.076073226310655e-15,0.0,0.0,0.0
01-06 08:00:00+01:00,0.0,3.0309088572266774e-14,0.0,0.0,0.0
01-06 09:00:00+01:00,0.0,-6.702971511174383e-15,0.0,0.0,0.0
01-06 10:00:00+01:00,0.0,-1.759703494030873e-14,0.0,0.0,0.0
01-06 11:00:00+01:00,0.0,9.992007221626409e-16,0.0,0.0,0.0
01-06 12:00:00+01:00,0.0,4.260480856999038e-14,0.0,0.0,0.0
01-06 13:00:00+01:00,0.0,5.449807272128737e-14,0.0,0.0,0.0
01-06 14:00:00+01:00,0.0,1.5001888620247428e-14,0.0,0.0,0.0
01-06 15:00:00+01:00,0.0,-2.8296809340133677e-14,0.0,0.0,0.0
01-06 16:00:00+01:00,0.0,-1.6708856520608606e-14,0.0,0.0,0.0
01-06 17:00:00+01:00,0.0,-2.070565940925917e-14,0.0,0.0,0.0
01-06 18:00:00+01:00,0.0,6.106226635438361e-15,0.0,0.0,0.0
01-06 19:00:00+01:00,0.0,-1.1102230246251565e-15,0.0,0.0,0.0
01-06 20:00:00+01:00,0.0,-6.994405055138486e-15,0.0,0.0,0.0
01-06 21:00:00+01:00,0.0,8.909539772616881e-15,0.0,0.0,0.0
01-06 22:00:00+01:00,0.0,2.4202861936828413e-14,0.0,0.0,0.0
01-06 23:00:00+01:00,0.0,1.3988810110276972e-14,0.0,0.0,0.0
01-07 00:00:00+01:00,0.0,2.919886554764162e-14,0.0,0.0,0.0
01-07 01:00:00+01:00,0.0,1.940114735532461e-14,0.0,0.0,0.0
01-07 02:00:00+01:00,0.0,7.702172233337023e-15,0.0,0.0,0.0
01-07 03:00:00+01:00,0.0,5.639932965095795e-14,0.0,0.0,0.0
01-07 04:00:00+01:00,0.0,1.199040866595169e-14,0.0,0.0,0.0
01-07 05:00:00+01:00,0.0,-0.009251456219971893,0.0092514562199954,0.0,0.0
01-07 06:00:00+01:00,0.0,-0.01082423079333708,0.0108242307933287,0.0,0.0
01-07 07:00:00+01:00,0.0,-0.005310513526647104,0.0053105135266621,0.0,0.0
01-07 08:00:00+01:00,0.0,4.08006961549745e-14,0.0,0.0,0.0
01-07 09:00:00+01:00,0.0,5.978550987606468e-14,0.0,0.0,0.0
01-07 10:00:00+01:00,0.0,5.995204332975845e-15,0.0,0.0,0.0
01-07 11:00:00+01:00,0.0,3.019806626980426e-14,0.0,0.0,0.0
01-07 12:00:00+01:00,0.0,2.7922109069322687e-14,0.0,0.0,0.0
01-07 13:00:00+01:00,0.0,2.0816681711721685e-14,0.0,0.0,0.0
01-07 14:00:00+01:00,0.0,2.2398749521812533e-14,0.0,0.0,0.0
01-07 15:00:00+01:00,0.0,5.920264278813647e-14,0.0,0.0,0.0
01-07 16:00:00+01:00,0.0,-1.7014167852380524e-14,0.0,0.0,0.0
01-07 17:00:00+01:00,0.0012088397950034,-0.0012088397950223984,0.0,0.0,0.0
01-07 18:00:00+01:00,0.0008865264850034,-0.0008865264849813037,0.0,0.0,0.0
01-07 19:00:00+01:00,0.0,-5.88418203051333e-15,0.0,0.0,0.0
01-07 20:00:00+01:00,0.0,4.779510121011299e-14,0.0,0.0,0.0
01-07 21:00:00+01:00,0.0,-5.490052856771399e-14,0.0,0.0,0.0
01-07 22:00:00+01:00,0.0,3.019806626980426e-14,0.0,0.0,0.0
01-07 23:00:00+01:00,0.0,1.304512053934559e-15,0.0,0.0,0.0
01-08 00:00:00+01:00,0.0,1.0103029524088925e-14,0.0,0.0,0.0
01-08 01:00:00+01:00,0.0,-8.992806499463768e-15,0.0,0.0,0.0
