Period,InitialNode,FinalNode,Circuit,p.u.
2030,N_103,N_124,cac1,0.06250000000000003
2030,N_109,N_111,cac2,0.02328169616951074
2030,N_117,N_118,cac2,0.03236187576691991
2030,N_109,N_111,cac3,0.010838894256065587
2030,N_115,N_116,cac2,0.13334134728703106
2030,N_118,N_121,cac1,0.08411669087946064
2030,N_106,N_108,cac1,0.02675162494362191
2030,N_117,N_118,cac3,0.030110963378401617
2030,N_115,N_116,cac3,0.13334134728703106
2030,N_103,N_124,cac2,0.06250000000000003
2030,N_116,N_117,cac1,0.3258926933105831
2030,N_103,N_124,cac3,0.062499999999999965
2030,N_118,N_121,cac2,0.056761785762550296
2030,N_106,N_108,cac2,0.02675162494362191
2030,N_118,N_121,cac3,0.056761785762550296
2030,N_106,N_108,cac3,0.02680972144191577
2030,N_109,N_111,cac1,0.02998333906873443
2030,N_117,N_118,cac1,0.032969839890598165
2030,N_116,N_117,cac2,0.3258926933105831
2030,N_115,N_116,cac1,0.13334134728703106
2030,N_116,N_117,cac3,0.3258926933105831
