,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
,Node_8,Node_8,Node_4,Node_4,Node_4,Node_4,Node_4,Node_4,Node_3,Node_3,Node_3,Node_3,Node_3,Node_1,Node_3,Node_1,Node_1,Node_6,Node_6,Node_6,Node_2,Node_2,Node_2,Node_6,Node_6,Node_6,Node_4,Node_4,Node_2,Node_4,Node_2,Node_2,Node_7,Node_7,Node_8,Node_7
,Node_9,Node_9,Node_5,Node_9,Node_9,Node_5,Node_9,Node_5,Node_6,Node_6,Node_6,Node_4,Node_4,Node_6,Node_4,Node_6,Node_6,Node_8,Node_8,Node_8,Node_6,Node_6,Node_6,Node_7,Node_7,Node_7,Node_6,Node_6,Node_3,Node_6,Node_3,Node_3,Node_8,Node_8,Node_9,Node_8
,cac3,cac2,cac1,cac2,cac1,cac3,cac3,cac2,cac2,cac1,cac3,cac1,cac3,cac1,cac2,cac3,cac2,cac1,cac3,cac2,cac1,cac3,cac2,cac2,cac1,cac3,cac1,cac2,cac1,cac3,cac2,cac3,cac2,cac1,cac1,cac3
LoadLevel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02 07:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023080180166666724,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6126815375916669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-02 08:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09199381633333337,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9450126256866669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-02 09:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1321649016666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9973086976666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-02 10:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16268379766666674,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8797330642333334,0.0,0.0,0.0,0.07430649116898123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-02 11:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18783085433333338,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.73278155925,0.0,0.0,0.0,0.08085998889120344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-02 12:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19363072866666675,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5273641484833335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-02 13:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1753108303333334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.35678723861666634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-02 14:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14168868049999997,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.26969255949999965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-02 15:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14331521366666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.48282183448333293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-02 16:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16334725183333343,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7782739973350004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
