Period,Scenario,LoadLevel,Node,GWh
2030,sc01,02-02 22:00:00+01:00,Node_3,0.0
2030,sc01,02-02 22:00:00+01:00,Node_6,0.0
2030,sc01,02-02 22:00:00+01:00,Node_5,0.0
2030,sc01,02-05 12:00:00+01:00,Node_1,0.0
2030,sc01,02-05 12:00:00+01:00,Node_2,0.0
2030,sc01,02-05 12:00:00+01:00,Node_8,0.0
2030,sc01,02-05 12:00:00+01:00,Node_4,0.0
2030,sc01,02-05 12:00:00+01:00,Node_7,0.0
2030,sc01,02-05 12:00:00+01:00,Node_9,0.0
2030,sc01,02-05 12:00:00+01:00,Node_3,0.0
2030,sc01,02-05 12:00:00+01:00,Node_6,0.0
2030,sc01,02-05 12:00:00+01:00,Node_5,0.0
2030,sc01,02-05 19:00:00+01:00,Node_1,0.0
2030,sc01,02-05 19:00:00+01:00,Node_2,0.0
2030,sc01,02-05 19:00:00+01:00,Node_8,0.0
2030,sc01,02-05 19:00:00+01:00,Node_4,0.0
2030,sc01,02-05 19:00:00+01:00,Node_7,0.0
2030,sc01,02-05 19:00:00+01:00,Node_9,0.0
2030,sc01,02-05 19:00:00+01:00,Node_3,0.0
2030,sc01,02-05 19:00:00+01:00,Node_6,0.0
2030,sc01,02-05 19:00:00+01:00,Node_5,0.0
2030,sc01,02-10 07:00:00+01:00,Node_1,0.0
2030,sc01,02-10 07:00:00+01:00,Node_2,0.0
2030,sc01,02-10 07:00:00+01:00,Node_8,0.0
2030,sc01,02-10 07:00:00+01:00,Node_4,0.0
2030,sc01,02-10 07:00:00+01:00,Node_7,0.0
2030,sc01,02-10 07:00:00+01:00,Node_9,0.0
2030,sc01,02-10 07:00:00+01:00,Node_3,0.0
2030,sc01,02-10 07:00:00+01:00,Node_6,0.0
2030,sc01,02-10 07:00:00+01:00,Node_5,0.0
2030,sc01,02-13 13:00:00+01:00,Node_1,0.0
2030,sc01,02-13 13:00:00+01:00,Node_2,0.0
2030,sc01,02-13 13:00:00+01:00,Node_8,0.0
2030,sc01,02-13 13:00:00+01:00,Node_4,0.0
2030,sc01,02-13 13:00:00+01:00,Node_7,0.0
2030,sc01,02-13 13:00:00+01:00,Node_9,0.0
2030,sc01,02-13 13:00:00+01:00,Node_3,0.0
2030,sc01,02-13 13:00:00+01:00,Node_6,0.0
2030,sc01,02-13 13:00:00+01:00,Node_5,0.0
2030,sc01,02-16 11:00:00+01:00,Node_1,0.0
2030,sc01,02-16 11:00:00+01:00,Node_2,0.0
2030,sc01,02-16 11:00:00+01:00,Node_8,0.0
2030,sc01,02-16 11:00:00+01:00,Node_4,0.0
2030,sc01,02-16 11:00:00+01:00,Node_7,0.0
2030,sc01,02-16 11:00:00+01:00,Node_9,0.0
2030,sc01,02-16 11:00:00+01:00,Node_3,0.0
2030,sc01,02-16 11:00:00+01:00,Node_6,0.0
2030,sc01,02-16 11:00:00+01:00,Node_5,0.0
2030,sc01,02-16 21:00:00+01:00,Node_1,0.0
2030,sc01,02-16 21:00:00+01:00,Node_2,0.0
2030,sc01,02-16 21:00:00+01:00,Node_8,0.0
2030,sc01,02-16 21:00:00+01:00,Node_4,0.0
2030,sc01,02-16 21:00:00+01:00,Node_7,0.0
2030,sc01,02-16 21:00:00+01:00,Node_9,0.0
2030,sc01,02-16 21:00:00+01:00,Node_3,0.0
2030,sc01,02-16 21:00:00+01:00,Node_6,0.0
2030,sc01,02-16 21:00:00+01:00,Node_5,0.0
2030,sc01,02-18 00:00:00+01:00,Node_1,0.0
2030,sc01,02-18 00:00:00+01:00,Node_2,0.0
2030,sc01,02-18 00:00:00+01:00,Node_8,0.0
2030,sc01,02-18 00:00:00+01:00,Node_4,0.0
2030,sc01,02-18 00:00:00+01:00,Node_7,0.0
2030,sc01,02-18 00:00:00+01:00,Node_9,0.0
2030,sc01,02-18 00:00:00+01:00,Node_3,0.0
2030,sc01,02-18 00:00:00+01:00,Node_6,0.0
2030,sc01,02-18 00:00:00+01:00,Node_5,0.0
2030,sc01,02-18 19:00:00+01:00,Node_1,0.0
2030,sc01,02-18 19:00:00+01:00,Node_2,0.0
2030,sc01,02-18 19:00:00+01:00,Node_8,0.0
2030,sc01,02-18 19:00:00+01:00,Node_4,0.0
2030,sc01,02-18 19:00:00+01:00,Node_7,0.0
2030,sc01,02-18 19:00:00+01:00,Node_9,0.0
2030,sc01,02-18 19:00:00+01:00,Node_3,0.0
2030,sc01,02-18 19:00:00+01:00,Node_6,0.0
2030,sc01,02-18 19:00:00+01:00,Node_5,0.0
2030,sc01,02-19 10:00:00+01:00,Node_1,0.0
2030,sc01,02-19 10:00:00+01:00,Node_2,0.0
2030,sc01,02-19 10:00:00+01:00,Node_8,0.0
2030,sc01,02-19 10:00:00+01:00,Node_4,0.0
2030,sc01,02-19 10:00:00+01:00,Node_7,0.0
2030,sc01,02-19 10:00:00+01:00,Node_9,0.0
2030,sc01,02-19 10:00:00+01:00,Node_3,0.0
2030,sc01,02-19 10:00:00+01:00,Node_6,0.0
2030,sc01,02-19 10:00:00+01:00,Node_5,0.0
2030,sc01,02-23 16:00:00+01:00,Node_1,0.0
2030,sc01,02-23 16:00:00+01:00,Node_2,0.0
2030,sc01,02-23 16:00:00+01:00,Node_8,0.0
2030,sc01,02-23 16:00:00+01:00,Node_4,0.0
2030,sc01,02-23 16:00:00+01:00,Node_7,0.0
2030,sc01,02-23 16:00:00+01:00,Node_9,0.0
2030,sc01,02-23 16:00:00+01:00,Node_3,0.0
2030,sc01,02-23 16:00:00+01:00,Node_6,0.0
2030,sc01,02-23 16:00:00+01:00,Node_5,0.0
2030,sc01,03-02 17:00:00+01:00,Node_1,0.0
2030,sc01,03-02 17:00:00+01:00,Node_2,0.0
2030,sc01,03-02 17:00:00+01:00,Node_8,0.0
2030,sc01,03-02 17:00:00+01:00,Node_4,0.0
2030,sc01,03-02 17:00:00+01:00,Node_7,0.0
2030,sc01,03-02 17:00:00+01:00,Node_9,0.0
2030,sc01,03-02 17:00:00+01:00,Node_3,0.0
2030,sc01,03-02 17:00:00+01:00,Node_6,0.0
2030,sc01,03-02 17:00:00+01:00,Node_5,0.0
2030,sc01,03-05 05:00:00+01:00,Node_1,0.0
2030,sc01,03-05 05:00:00+01:00,Node_2,0.0
2030,sc01,03-05 05:00:00+01:00,Node_8,0.0
2030,sc01,03-05 05:00:00+01:00,Node_4,0.0
2030,sc01,03-05 05:00:00+01:00,Node_7,0.0
2030,sc01,03-05 05:00:00+01:00,Node_9,0.0
2030,sc01,03-05 05:00:00+01:00,Node_3,0.0
2030,sc01,03-05 05:00:00+01:00,Node_6,0.0
2030,sc01,03-05 05:00:00+01:00,Node_5,0.0
2030,sc01,03-07 01:00:00+01:00,Node_1,0.0
2030,sc01,03-07 01:00:00+01:00,Node_2,0.0
2030,sc01,03-07 01:00:00+01:00,Node_8,0.0
2030,sc01,03-07 01:00:00+01:00,Node_4,0.0
2030,sc01,03-07 01:00:00+01:00,Node_7,0.0
2030,sc01,03-07 01:00:00+01:00,Node_9,0.0
2030,sc01,03-07 01:00:00+01:00,Node_3,0.0
2030,sc01,03-07 01:00:00+01:00,Node_6,0.0
2030,sc01,03-07 01:00:00+01:00,Node_5,0.0
2030,sc01,03-12 08:00:00+01:00,Node_1,0.0
2030,sc01,03-12 08:00:00+01:00,Node_2,0.0
2030,sc01,03-12 08:00:00+01:00,Node_8,0.0
2030,sc01,03-12 08:00:00+01:00,Node_4,0.0
2030,sc01,03-12 08:00:00+01:00,Node_7,0.0
2030,sc01,03-12 08:00:00+01:00,Node_9,0.0
2030,sc01,03-12 08:00:00+01:00,Node_3,0.0
2030,sc01,03-12 08:00:00+01:00,Node_6,0.0
2030,sc01,03-12 08:00:00+01:00,Node_5,0.0
2030,sc01,03-21 01:00:00+01:00,Node_1,0.0
2030,sc01,03-21 01:00:00+01:00,Node_2,0.0
2030,sc01,03-21 01:00:00+01:00,Node_8,0.0
2030,sc01,03-21 01:00:00+01:00,Node_4,0.0
2030,sc01,03-21 01:00:00+01:00,Node_7,0.0
2030,sc01,03-21 01:00:00+01:00,Node_9,0.0
2030,sc01,03-21 01:00:00+01:00,Node_3,0.0
2030,sc01,03-21 01:00:00+01:00,Node_6,0.0
2030,sc01,03-21 01:00:00+01:00,Node_5,0.0
2030,sc01,03-25 08:00:00+01:00,Node_1,0.0
2030,sc01,03-25 08:00:00+01:00,Node_2,0.0
2030,sc01,03-25 08:00:00+01:00,Node_8,0.0
2030,sc01,03-25 08:00:00+01:00,Node_4,0.0
2030,sc01,03-25 08:00:00+01:00,Node_7,0.0
2030,sc01,03-25 08:00:00+01:00,Node_9,0.0
2030,sc01,03-25 08:00:00+01:00,Node_3,0.0
2030,sc01,03-25 08:00:00+01:00,Node_6,0.0
2030,sc01,03-25 08:00:00+01:00,Node_5,0.0
2030,sc01,03-26 08:00:00+01:00,Node_1,0.0
2030,sc01,03-26 08:00:00+01:00,Node_2,0.0
2030,sc01,03-26 08:00:00+01:00,Node_8,0.0
2030,sc01,03-26 08:00:00+01:00,Node_4,0.0
2030,sc01,03-26 08:00:00+01:00,Node_7,0.0
2030,sc01,03-26 08:00:00+01:00,Node_9,0.0
2030,sc01,03-26 08:00:00+01:00,Node_3,0.0
2030,sc01,03-26 08:00:00+01:00,Node_6,0.0
2030,sc01,03-26 08:00:00+01:00,Node_5,0.0
2030,sc01,04-04 00:00:00+02:00,Node_1,0.0
2030,sc01,04-04 00:00:00+02:00,Node_2,0.0
2030,sc01,04-04 00:00:00+02:00,Node_8,0.0
2030,sc01,04-04 00:00:00+02:00,Node_4,0.0
2030,sc01,04-04 00:00:00+02:00,Node_7,0.0
2030,sc01,04-04 00:00:00+02:00,Node_9,0.0
2030,sc01,04-04 00:00:00+02:00,Node_3,0.0
2030,sc01,04-04 00:00:00+02:00,Node_6,0.0
2030,sc01,04-04 00:00:00+02:00,Node_5,0.0
2030,sc01,04-07 00:00:00+02:00,Node_1,0.0
2030,sc01,04-07 00:00:00+02:00,Node_2,0.0
2030,sc01,04-07 00:00:00+02:00,Node_8,0.0
2030,sc01,04-07 00:00:00+02:00,Node_4,0.0
2030,sc01,04-07 00:00:00+02:00,Node_7,0.0
2030,sc01,04-07 00:00:00+02:00,Node_9,0.0
2030,sc01,04-07 00:00:00+02:00,Node_3,0.0
2030,sc01,04-07 00:00:00+02:00,Node_6,0.0
2030,sc01,04-07 00:00:00+02:00,Node_5,0.0
