Period,Scenario,LoadLevel,Node,SRMC
2030,sc01,04-14 03:00:00+02:00,Node_6,15.0
2030,sc01,04-14 03:00:00+02:00,Node_8,15.0
2030,sc01,04-14 03:00:00+02:00,Node_5,15.0
2030,sc01,04-14 03:00:00+02:00,Node_7,15.0
2030,sc01,04-14 03:00:00+02:00,Node_3,15.0
2030,sc01,04-15 10:00:00+02:00,Node_9,1.4999999999999998
2030,sc01,04-15 10:00:00+02:00,Node_4,1.5000000000000007
2030,sc01,04-15 10:00:00+02:00,Node_2,1.5
2030,sc01,04-15 10:00:00+02:00,Node_1,1.4999999999999998
2030,sc01,04-15 10:00:00+02:00,Node_6,1.4999999999999998
2030,sc01,04-15 10:00:00+02:00,Node_8,1.4999999999999998
2030,sc01,04-15 10:00:00+02:00,Node_5,1.5000000000000007
2030,sc01,04-15 10:00:00+02:00,Node_7,1.4999999999999998
2030,sc01,04-15 10:00:00+02:00,Node_3,1.5
2030,sc01,05-14 06:00:00+02:00,Node_9,14.999999999999998
2030,sc01,05-14 06:00:00+02:00,Node_4,14.999999999999998
2030,sc01,05-14 06:00:00+02:00,Node_2,14.999999999999998
2030,sc01,05-14 06:00:00+02:00,Node_1,14.999999999999998
2030,sc01,05-14 06:00:00+02:00,Node_6,14.999999999999998
2030,sc01,05-14 06:00:00+02:00,Node_8,14.999999999999998
2030,sc01,05-14 06:00:00+02:00,Node_5,14.999999999999998
2030,sc01,05-14 06:00:00+02:00,Node_7,14.999999999999998
2030,sc01,05-14 06:00:00+02:00,Node_3,14.999999999999998
2030,sc01,05-30 15:00:00+02:00,Node_9,1.5000000000000002
2030,sc01,05-30 15:00:00+02:00,Node_4,1.5000000000000004
2030,sc01,05-30 15:00:00+02:00,Node_2,1.5
2030,sc01,05-30 15:00:00+02:00,Node_1,1.5000000000000002
2030,sc01,05-30 15:00:00+02:00,Node_6,1.5000000000000002
2030,sc01,05-30 15:00:00+02:00,Node_8,1.5000000000000002
2030,sc01,05-30 15:00:00+02:00,Node_5,1.5000000000000004
2030,sc01,05-30 15:00:00+02:00,Node_7,1.5000000000000002
2030,sc01,05-30 15:00:00+02:00,Node_3,1.5
2030,sc01,06-02 14:00:00+02:00,Node_9,14.999999999999998
2030,sc01,06-02 14:00:00+02:00,Node_4,14.999999999999998
2030,sc01,06-02 14:00:00+02:00,Node_2,14.999999999999998
2030,sc01,06-02 14:00:00+02:00,Node_1,14.999999999999998
2030,sc01,06-02 14:00:00+02:00,Node_6,14.999999999999998
